"Time","X4th.Ventricle"
-22.94,2358.34572941825
-22.93,2358.35000997169
-22.92,2358.35432050247
-22.91,2358.35863356591
-22.9,2358.36294662934
-22.89,2358.36725969278
-22.88,2358.37157275621
-22.87,2358.37588581965
-22.86,2358.38019888308
-22.85,2358.38451194652
-22.84,2358.38882500995
-22.83,2358.39314907313
-22.82,2358.39749484453
-22.81,2358.40184061594
-22.8,2358.40618638734
-22.79,2358.41053215874
-22.78,2358.41487793014
-22.77,2358.41922370155
-22.76,2358.42356947295
-22.75,2358.42791524435
-22.74,2358.43226101576
-22.73,2358.43663148388
-22.72,2358.44101016198
-22.71,2358.44538884009
-22.7,2358.44976751819
-22.69,2358.45414619629
-22.68,2358.4585248744
-22.67,2358.4629035525
-22.66,2358.4672822306
-22.65,2358.47166090871
-22.64,2358.47604503983
-22.63,2358.48045682413
-22.62,2358.48486860843
-22.61,2358.48928039273
-22.6,2358.49369217703
-22.59,2358.49810396132
-22.58,2358.50251574562
-22.57,2358.50692752992
-22.56,2358.51133931422
-22.55,2358.51575109852
-22.54,2358.52018216454
-22.53,2358.52462725529
-22.52,2358.52907234604
-22.51,2358.53351743679
-22.5,2358.53796252753
-22.49,2358.54240761828
-22.48,2358.54685270903
-22.47,2358.55129779978
-22.46,2358.55574289053
-22.45,2358.56018798128
-22.44,2358.5646663491
-22.43,2358.56914494731
-22.42,2358.57362354552
-22.41,2358.57810214373
-22.4,2358.58258074194
-22.39,2358.58705934015
-22.38,2358.59153793836
-22.37,2358.59601653657
-22.36,2358.60049513479
-22.35,2358.60498746378
-22.34,2358.60949977122
-22.33,2358.61401207866
-22.32,2358.61852438611
-22.31,2358.62303669355
-22.3,2358.627549001
-22.29,2358.63206130844
-22.28,2358.63657361589
-22.27,2358.64108592333
-22.26,2358.64559823078
-22.25,2358.65013839794
-22.24,2358.65468461714
-22.23,2358.65923083635
-22.22,2358.66377705555
-22.21,2358.66832327476
-22.2,2358.67286949397
-22.19,2358.67741571317
-22.18,2358.68196193238
-22.17,2358.68650815158
-22.16,2358.69106241311
-22.15,2358.69564274736
