"Time","Right.Cortex"
0.840000000000003,249451.10801414
0.850000000000001,249449.252718588
0.859999999999999,249447.396894742
0.869999999999997,249445.541070896
0.880000000000003,249443.68524705
0.890000000000001,249441.829423204
0.899999999999999,249439.973599358
0.910000000000004,249438.117775512
0.920000000000002,249436.261951666
0.93,249434.40612782
0.939999999999998,249432.55021517
0.950000000000003,249430.692893874
0.960000000000001,249428.835572579
0.969999999999999,249426.978251283
0.980000000000004,249425.120929987
0.990000000000002,249423.263608691
1,249421.406287395
1.01,249419.548966099
1.02,249417.691644804
1.03,249415.834323508
1.04,249413.976288939
1.05,249412.117461286
1.06,249410.258633634
1.07,249408.399805981
1.08,249406.540978328
1.09,249404.682150676
1.1,249402.823323023
1.11,249400.964495371
1.12,249399.105667718
1.13,249397.246840066
1.14,249395.386667274
1.15,249393.526324338
1.16,249391.665981402
1.17,249389.805638467
1.18,249387.945295531
1.19,249386.084952595
1.2,249384.224609659
1.21,249382.364266723
1.22,249380.503923787
1.23,249378.643120656
1.24,249376.78125349
1.25,249374.919386325
1.26,249373.057519159
1.27,249371.195651994
1.28,249369.333784828
1.29,249367.471917662
1.3,249365.610050497
1.31,249363.748183331
1.32,249361.886316166
1.33,249360.023351039
1.34,249358.159950677
1.35,249356.296550315
1.36,249354.433149954
1.37,249352.569749592
1.38,249350.70634923
1.39,249348.842948869
1.4,249346.979548507
1.41,249345.116148145
1.42,249343.252546789
1.43,249341.387604245
1.44,249339.5226617
1.45,249337.657719156
1.46,249335.792776612
1.47,249333.927834068
1.48,249332.062891523
1.49,249330.197948979
1.5,249328.333006435
1.51,249326.468063891
1.52,249324.602276666
1.53,249322.735782933
1.54,249320.869289199
1.55,249319.002795466
1.56,249317.136301732
1.57,249315.269807999
1.58,249313.403314265
1.59,249311.536820531
1.6,249309.670326798
1.61,249307.803833064
1.62,249305.935843485
1.63,249304.067789535
1.64,249302.199735585
1.65,249300.331681635
1.66,249298.463627685
1.67,249296.595573736
1.68,249294.727519786
1.69,249292.859465836
1.7,249290.991411886
1.71,249289.122772682
1.72,249287.253149468
1.73,249285.383526254
1.74,249283.513903041
1.75,249281.644279827
1.76,249279.774656613
1.77,249277.9050334
1.78,249276.035410186
1.79,249274.165786973
1.8,249272.296163759
1.81,249270.425298155
1.82,249268.554096609
1.83,249266.682895064
1.84,249264.811693518
1.85,249262.940491972
1.86,249261.069290427
1.87,249259.198088881
1.88,249257.326887336
1.89,249255.45568579
1.9,249253.584164602
1.91,249251.711375635
1.92,249249.838586669
1.93,249247.965797703
1.94,249246.093008736
1.95,249244.22021977
1.96,249242.347430803
1.97,249240.474641837
1.98,249238.601852871
1.99,249236.729063904
2,249234.855292169
2.01,249232.980906672
2.02,249231.106521175
2.03,249229.232135678
2.04,249227.357750181
2.05,249225.483364685
2.06,249223.608979188
2.07,249221.734593691
2.08,249219.860208194
2.09,249217.985774895
2.1,249216.109783737
2.11,249214.233792579
2.12,249212.35780142
2.13,249210.481810262
2.14,249208.605819104
2.15,249206.729827946
2.16,249204.853836788
2.17,249202.97784563
2.18,249201.101854472
2.19,249199.225146374
2.2,249197.347540403
2.21,249195.469934432
2.22,249193.592328461
2.23,249191.71472249
2.24,249189.837116519
2.25,249187.959510547
2.26,249186.081904576
2.27,249184.204298605
2.28,249182.326692634
2.29,249180.447692986
2.3,249178.568463029
2.31,249176.689233072
2.32,249174.810003114
2.33,249172.930773157
2.34,249171.0515432
2.35,249169.172313243
2.36,249167.293083285
2.37,249165.413853328
2.38,249163.534178512
2.39,249161.653315374
2.4,249159.772452236
2.41,249157.891589098
2.42,249156.01072596
2.43,249154.129862822
2.44,249152.248999684
2.45,249150.368136546
2.46,249148.487273408
2.47,249146.60641027
2.48,249144.724419473
2.49,249142.841913938
2.5,249140.959408404
2.51,249139.076902869
2.52,249137.194397334
2.53,249135.3118918
2.54,249133.429386265
2.55,249131.54688073
2.56,249129.664375196
2.57,249127.781703178
2.58,249125.897546009
2.59,249124.01338884
2.6,249122.129231671
2.61,249120.245074502
2.62,249118.360917333
2.63,249116.476760164
2.64,249114.592602995
2.65,249112.708445826
2.66,249110.824288657
2.67,249108.939276119
2.68,249107.053458057
2.69,249105.167639994
2.7,249103.281821931
2.71,249101.396003868
2.72,249099.510185805
2.73,249097.624367743
2.74,249095.73854968
2.75,249093.852731617
2.76,249091.966913554
2.77,249090.079543547
2.78,249088.192055309
2.79,249086.304567071
2.8,249084.417078833
2.81,249082.529590595
2.82,249080.642102357
2.83,249078.754614119
2.84,249076.867125881
2.85,249074.979637643
2.86,249073.091572645
2.87,249071.202404928
2.88,249069.313237212
2.89,249067.424069495
2.9,249065.534901778
2.91,249063.645734062
2.92,249061.756566345
2.93,249059.867398629
2.94,249057.978230912
2.95,249056.089063195
2.96,249054.198616004
2.97,249052.307759483
2.98,249050.416902962
2.99,249048.526046441
3,249046.63518992
3.01,249044.744333399
3.02,249042.853476878
3.03,249040.962620357
3.04,249039.071763836
3.05,249037.180615526
3.06,249035.288060853
3.07,249033.395506179
3.08,249031.502951506
3.09,249029.610396833
3.1,249027.71784216
3.11,249025.825287487
3.12,249023.932732813
3.13,249022.04017814
3.14,249020.147623467
3.15,249018.254068129
3.16,249016.359805933
3.17,249014.465543737
3.18,249012.571281541
3.19,249010.677019345
3.2,249008.782757149
3.21,249006.888494953
3.22,249004.994232757
3.23,249003.099970561
3.24,249001.205707955
3.25,248999.309728844
3.26,248997.413749732
3.27,248995.51777062
3.28,248993.621791508
3.29,248991.725812397
3.3,248989.829833285
3.31,248987.933854173
3.32,248986.037875062
3.33,248984.14189595
3.34,248982.245201369
3.35,248980.347495926
3.36,248978.449790483
3.37,248976.55208504
3.38,248974.654379596
3.39,248972.756674153
3.4,248970.85896871
3.41,248968.961263266
3.42,248967.063557823
3.43,248965.16585238
3.44,248963.26670859
3.45,248961.367267377
3.46,248959.467826163
3.47,248957.56838495
3.48,248955.668943736
3.49,248953.769502523
3.5,248951.870061309
3.51,248949.970620096
3.52,248948.071178882
3.53,248946.171313829
3.54,248944.270127383
3.55,248942.368940938
3.56,248940.467754492
3.57,248938.566568047
3.58,248936.665381601
3.59,248934.764195156
3.6,248932.86300871
3.61,248930.961822265
3.62,248929.060635819
3.63,248927.158296417
3.64,248925.255355255
3.65,248923.352414093
3.66,248921.44947293
3.67,248919.546531768
3.68,248917.643590606
3.69,248915.740649443
3.7,248913.837708281
3.71,248911.934767119
3.72,248910.031700225
3.73,248908.126994838
3.74,248906.222289451
3.75,248904.317584064
3.76,248902.412878677
3.77,248900.508173289
3.78,248898.603467902
3.79,248896.698762515
3.8,248894.794057128
3.81,248892.889351741
3.82,248890.983785243
3.83,248889.077306099
3.84,248887.170826955
3.85,248885.264347812
3.86,248883.357868668
3.87,248881.451389524
3.88,248879.54491038
3.89,248877.638431237
3.9,248875.731952093
3.91,248873.825472949
3.92,248871.917389398
3.93,248870.009126943
3.94,248868.100864488
3.95,248866.192602032
3.96,248864.284339577
3.97,248862.376077122
3.98,248860.467814666
3.99,248858.559552211
4,248856.651289755
4.01,248854.74246454
4.02,248852.832409194
4.03,248850.922353848
4.04,248849.012298502
4.05,248847.102243156
4.06,248845.19218781
4.07,248843.282132465
4.08,248841.372077119
4.09,248839.462021773
4.1,248837.551966427
4.11,248835.640598704
4.12,248833.728740865
4.13,248831.816883025
4.14,248829.905025186
4.15,248827.993167347
4.16,248826.081309508
4.17,248824.169451669
4.18,248822.257593829
4.19,248820.34573599
4.2,248818.433620295
4.21,248816.519950335
4.22,248814.606280376
4.23,248812.692610417
4.24,248810.778940458
4.25,248808.865270499
4.26,248806.951600539
4.27,248805.03793058
4.28,248803.124260621
4.29,248801.210590662
4.3,248799.295906885
4.31,248797.380415155
4.32,248795.464923425
4.33,248793.549431695
4.34,248791.633939965
4.35,248789.718448235
4.36,248787.802956505
4.37,248785.887464774
4.38,248783.971973044
4.39,248782.056481314
4.4,248780.139211787
4.41,248778.221888611
4.42,248776.304565435
4.43,248774.387242259
4.44,248772.469919083
4.45,248770.552595907
4.46,248768.635272731
4.47,248766.717949554
4.48,248764.800626378
4.49,248762.882594522
4.5,248760.963430201
4.51,248759.044265879
4.52,248757.125101557
4.53,248755.205937235
4.54,248753.286772914
4.55,248751.367608592
4.56,248749.44844427
4.57,248747.529279949
4.58,248745.610115627
4.59,248743.689472242
4.6,248741.76845705
4.61,248739.847441859
4.62,248737.926426667
4.63,248736.005411476
4.64,248734.084396284
4.65,248732.163381093
4.66,248730.242365901
4.67,248728.32135071
4.68,248726.399938604
4.69,248724.477062794
4.7,248722.554186984
4.71,248720.631311174
4.72,248718.708435363
4.73,248716.785559553
4.74,248714.862683743
4.75,248712.939807933
4.76,248711.016932123
4.77,248709.094056313
4.78,248707.170006776
4.79,248705.245260574
4.8,248703.320514371
4.81,248701.395768169
4.82,248699.471021966
4.83,248697.546275764
4.84,248695.621529561
4.85,248693.696783359
4.86,248691.772037156
4.87,248689.847212484
4.88,248687.92058609
4.89,248685.993959696
4.9,248684.067333303
4.91,248682.140706909
4.92,248680.214080515
4.93,248678.287454122
4.94,248676.360827728
4.95,248674.434201334
4.96,248672.507574941
4.97,248670.580086812
4.98,248668.651570404
4.99,248666.723053995
5,248664.794537586
5.01,248662.866021178
5.02,248660.937504769
5.03,248659.00898836
5.04,248657.080471952
5.05,248655.151955543
5.06,248653.223439134
5.07,248651.293269566
5.08,248649.362853293
5.09,248647.43243702
5.1,248645.502020747
5.11,248643.571604474
5.12,248641.641188201
5.13,248639.710771928
5.14,248637.780355655
5.15,248635.849939382
5.16,248633.918980071
5.17,248631.98665406
5.18,248630.054328048
5.19,248628.122002036
5.2,248626.189676024
5.21,248624.257350012
5.22,248622.325024001
5.23,248620.392697989
5.24,248618.460371977
5.25,248616.528045965
5.26,248614.594378975
5.27,248612.660133324
5.28,248610.725887673
5.29,248608.791642022
5.3,248606.857396371
5.31,248604.923150721
5.32,248602.98890507
5.33,248601.054659419
5.34,248599.120413768
5.35,248597.185950533
5.36,248595.249775317
5.37,248593.313600101
5.38,248591.377424885
5.39,248589.441249669
5.4,248587.505074453
5.41,248585.568899237
5.42,248583.632724021
5.43,248581.696548805
5.44,248579.760373589
5.45,248577.823176308
5.46,248575.885061575
5.47,248573.946946842
5.48,248572.008832109
5.49,248570.070717376
5.5,248568.132602643
5.51,248566.19448791
5.52,248564.256373177
5.53,248562.318258444
5.54,248560.380143711
5.55,248558.440194163
5.56,248556.500129935
5.57,248554.560065707
5.58,248552.620001479
5.59,248550.679937252
5.6,248548.739873024
5.61,248546.799808796
5.62,248544.859744568
5.63,248542.91968034
5.64,248540.978919745
5.65,248539.036896018
5.66,248537.094872291
5.67,248535.152848564
5.68,248533.210824838
5.69,248531.268801111
5.7,248529.326777384
5.71,248527.384753657
5.72,248525.44272993
5.73,248523.500706203
5.74,248521.557166754
5.75,248519.613173498
5.76,248517.669180242
5.77,248515.725186985
5.78,248513.781193729
5.79,248511.837200473
5.8,248509.893207216
5.81,248507.94921396
5.82,248506.005220703
5.83,248504.060863616
5.84,248502.114890773
5.85,248500.16891793
5.86,248498.222945088
5.87,248496.276972245
5.88,248494.330999402
5.89,248492.385026559
5.9,248490.439053717
5.91,248488.493080874
5.92,248486.547108031
5.93,248484.599945371
5.94,248482.651982858
5.95,248480.704020346
5.96,248478.756057833
5.97,248476.80809532
5.98,248474.860132807
5.99,248472.912170294
6,248470.964207782
6.01,248469.016245269
6.02,248467.068258353
6.03,248465.11829606
6.04,248463.168333767
6.05,248461.218371474
6.06,248459.26840918
6.07,248457.318446887
6.08,248455.368484594
6.09,248453.418522301
6.1,248451.468560007
6.11,248449.518597714
6.12,248447.567778375
6.13,248445.615806164
6.14,248443.663833953
6.15,248441.711861742
6.16,248439.759889531
6.17,248437.80791732
6.18,248435.855945109
6.19,248433.903972898
6.2,248431.952000687
6.21,248430.000028476
6.22,248428.046358155
6.23,248426.092365862
6.24,248424.138373569
6.25,248422.184381276
6.26,248420.230388983
6.27,248418.276396689
6.28,248416.322404396
6.29,248414.368412103
6.3,248412.41441981
6.31,248410.459910163
6.32,248408.503887595
6.33,248406.547865028
6.34,248404.591842461
6.35,248402.635819894
6.36,248400.679797327
6.37,248398.723774759
6.38,248396.767752192
6.39,248394.811729625
6.4,248392.855707058
6.41,248390.898319349
6.42,248388.940256289
6.43,248386.982193228
6.44,248385.024130168
6.45,248383.066067108
6.46,248381.108004048
6.47,248379.149940987
6.48,248377.191877927
6.49,248375.233814867
6.5,248373.275581121
6.51,248371.315467321
6.52,248369.355353521
6.53,248367.395239721
6.54,248365.435125921
6.55,248363.475012121
6.56,248361.514898321
6.57,248359.554784521
6.58,248357.594670721
6.59,248355.634556921
6.6,248353.673417897
6.61,248351.711243082
6.62,248349.749068268
6.63,248347.786893454
6.64,248345.824718639
6.65,248343.862543825
6.66,248341.900369011
6.67,248339.938194197
6.68,248337.976019382
6.69,248336.013844568
6.7,248334.049781454
6.71,248332.085535323
6.72,248330.121289192
6.73,248328.157043061
6.74,248326.19279693
6.75,248324.2285508
6.76,248322.264304669
6.77,248320.300058538
6.78,248318.335812407
6.79,248316.370887976
6.8,248314.404560198
6.81,248312.43823242
6.82,248310.471904642
6.83,248308.505576865
6.84,248306.539249087
6.85,248304.572921309
6.86,248302.606593531
6.87,248300.640265754
6.88,248298.673937976
6.89,248296.706062002
6.9,248294.737642219
6.91,248292.769222435
6.92,248290.800802652
6.93,248288.832382869
6.94,248286.863963086
6.95,248284.895543303
6.96,248282.927123519
6.97,248280.958703736
6.98,248278.989959639
6.99,248277.019437464
7,248275.048915288
7.01,248273.078393113
7.02,248271.107870937
7.03,248269.137348761
7.04,248267.166826586
7.05,248265.19630441
7.06,248263.225782234
7.07,248261.255260059
7.08,248259.283536826
7.09,248257.310901843
7.1,248255.338266859
7.11,248253.365631876
7.12,248251.392996892
7.13,248249.420361909
7.14,248247.447726925
7.15,248245.475091942
7.16,248243.502456959
7.17,248241.529821975
7.18,248239.555100534
7.19,248237.580342299
7.2,248235.605584064
7.21,248233.630825828
7.22,248231.656067593
7.23,248229.681309358
7.24,248227.706551122
7.25,248225.731792887
7.26,248223.757034652
7.27,248221.781429591
7.28,248219.804537631
7.29,248217.827645671
7.3,248215.850753711
7.31,248213.87386175
7.32,248211.89696979
7.33,248209.92007783
7.34,248207.94318587
7.35,248205.966293909
7.36,248203.989401949
7.37,248202.010770845
7.38,248200.031734658
7.39,248198.052698471
7.4,248196.073662284
7.41,248194.094626097
7.42,248192.11558991
7.43,248190.136553723
7.44,248188.157517535
7.45,248186.178481348
7.46,248184.198959721
7.47,248182.217768776
7.48,248180.236577831
7.49,248178.255386886
7.5,248176.274195941
7.51,248174.293004996
7.52,248172.311814051
7.53,248170.330623106
7.54,248168.349432161
7.55,248166.368241215
7.56,248164.385665564
7.57,248162.402309301
7.58,248160.418953037
7.59,248158.435596774
7.6,248156.45224051
7.61,248154.468884247
7.62,248152.485527983
7.63,248150.50217172
7.64,248148.518815456
7.65,248146.535342349
7.66,248144.549810177
7.67,248142.564278005
7.68,248140.578745834
7.69,248138.593213662
7.7,248136.60768149
7.71,248134.622149318
7.72,248132.636617146
7.73,248130.651084975
7.74,248128.665552803
7.75,248126.678997545
7.76,248124.691278845
7.77,248122.703560145
7.78,248120.715841446
7.79,248118.728122746
7.8,248116.740404046
7.81,248114.752685347
7.82,248112.764966647
7.83,248110.777247947
7.84,248108.789529247
7.85,248106.799872395
7.86,248104.809956518
7.87,248102.820040641
7.88,248100.830124764
7.89,248098.840208887
7.9,248096.85029301
7.91,248094.860377133
7.92,248092.870461256
7.93,248090.880545379
7.94,248088.889975279
7.95,248086.897851546
7.96,248084.905727812
7.97,248082.913604078
7.98,248080.921480345
7.99,248078.929356611
8,248076.937232877
8.01,248074.945109144
8.02,248072.95298541
8.03,248070.960861676
8.04,248068.967161604
8.05,248066.972819304
8.06,248064.978477004
8.07,248062.984134704
8.08,248060.989792404
8.09,248058.995450104
8.1,248057.001107804
8.11,248055.006765505
8.12,248053.012423205
8.13,248051.01780285
8.14,248049.021231244
8.15,248047.024659638
8.16,248045.028088032
8.17,248043.031516426
8.18,248041.03494482
8.19,248039.038373214
8.2,248037.041801608
8.21,248035.045230002
8.22,248033.048658397
8.23,248031.05087954
8.24,248029.052067858
8.25,248027.053256176
8.26,248025.054444493
8.27,248023.055632811
8.28,248021.056821129
8.29,248019.058009446
8.3,248017.059197764
8.31,248015.060386082
8.32,248013.0615744
8.33,248011.06061732
8.34,248009.05955476
8.35,248007.0584922
8.36,248005.057429641
8.37,248003.056367081
8.38,248001.055304521
8.39,247999.054241962
8.4,247997.053179402
8.41,247995.052116843
8.42,247993.050223458
8.43,247991.046899189
8.44,247989.04357492
8.45,247987.040250651
8.46,247985.036926383
8.47,247983.033602114
8.48,247981.030277845
8.49,247979.026953576
8.5,247977.023629308
8.51,247975.020305039
8.52,247973.015204642
8.53,247971.009607802
8.54,247969.004010961
8.55,247966.99841412
8.56,247964.99281728
8.57,247962.987220439
8.58,247960.981623598
8.59,247958.976026758
8.6,247956.970429917
8.61,247954.964386076
8.62,247952.956505769
8.63,247950.948625463
8.64,247948.940745156
8.65,247946.93286485
8.66,247944.924984544
8.67,247942.917104237
8.68,247940.909223931
8.69,247938.901343624
8.7,247936.893463318
8.71,247934.884183522
8.72,247932.874008825
8.73,247930.863834127
8.74,247928.853659429
8.75,247926.843484732
8.76,247924.833310034
8.77,247922.823135337
8.78,247920.812960639
8.79,247918.802785942
8.8,247916.792555532
8.81,247914.780075486
8.82,247912.767595441
8.83,247910.755115395
8.84,247908.74263535
8.85,247906.730155305
8.86,247904.717675259
8.87,247902.705195214
8.88,247900.692715168
8.89,247898.680235123
8.9,247896.66673966
8.91,247894.651943278
8.92,247892.637146896
8.93,247890.622350515
8.94,247888.607554133
8.95,247886.592757751
8.96,247884.57796137
8.97,247882.563164988
8.98,247880.548368606
8.99,247878.533572225
9,247876.51679159
9.01,247874.499667852
9.02,247872.482544113
9.03,247870.465420375
9.04,247868.448296637
9.05,247866.431172899
9.06,247864.41404916
9.07,247862.396925422
9.08,247860.379801684
9.09,247858.362054096
9.1,247856.342591949
9.11,247854.323129802
9.12,247852.303667655
9.13,247850.284205508
9.14,247848.264743361
9.15,247846.245281214
9.16,247844.225819066
9.17,247842.206356919
9.18,247840.186894772
9.19,247838.165832645
9.2,247836.144021005
9.21,247834.122209364
9.22,247832.100397724
9.23,247830.078586083
9.24,247828.056774443
9.25,247826.034962802
9.26,247824.013151162
9.27,247821.991339521
9.28,247819.969303163
9.29,247817.945130912
9.3,247815.920958661
9.31,247813.89678641
9.32,247811.87261416
9.33,247809.848441909
9.34,247807.824269658
9.35,247805.800097408
9.36,247803.775925157
9.37,247801.751752906
9.38,247799.72637248
