"Time","Left.Ventral.DC"
-22.62,4329.08663627736
-22.61,4329.08677364391
-22.6,4329.08691101047
-22.59,4329.08704837702
-22.58,4329.08718574357
-22.57,4329.08732311013
-22.56,4329.08746047668
-22.55,4329.08759784324
-22.54,4329.08773800444
-22.53,4329.08788019835
-22.52,4329.08802239226
-22.51,4329.08816458617
-22.5,4329.08830678008
-22.49,4329.08844897399
-22.48,4329.0885911679
-22.47,4329.08873336181
-22.46,4329.08887555572
-22.45,4329.08901774963
-22.44,4329.08916489103
-22.43,4329.08931206668
-22.42,4329.08945924232
-22.41,4329.08960641797
-22.4,4329.08975359362
-22.39,4329.08990076927
-22.38,4329.09004794492
-22.37,4329.09019512057
-22.36,4329.09034229621
-22.35,4329.09049156573
-22.34,4329.09064388186
-22.33,4329.09079619798
-22.32,4329.09094851411
-22.31,4329.09110083024
-22.3,4329.09125314636
-22.29,4329.09140546249
-22.28,4329.09155777862
-22.27,4329.09171009474
-22.26,4329.09186241087
-22.25,4329.09201908415
-22.24,4329.09217670396
-22.23,4329.09233432376
-22.22,4329.09249194356
-22.21,4329.09264956337
-22.2,4329.09280718317
-22.19,4329.09296480298
-22.18,4329.09312242278
-22.17,4329.09328004258
-22.16,4329.09343895223
-22.15,4329.09360204347
-22.14,4329.09376513472
-22.13,4329.09392822596
-22.12,4329.09409131721
-22.11,4329.09425440845
-22.1,4329.0944174997
-22.09,4329.09458059094
-22.08,4329.09474368218
-22.07,4329.09490677343
-22.06,4329.09507353289
-22.05,4329.09524226801
-22.04,4329.09541100313
-22.03,4329.09557973824
-22.02,4329.09574847336
-22.01,4329.09591720848
-22,4329.0960859436
-21.99,4329.09625467871
-21.98,4329.09642341383
-21.97,4329.09659252238
-21.96,4329.09676707858
-21.95,4329.09694163478
-21.94,4329.09711619098
-21.93,4329.09729074718
-21.92,4329.09746530338
-21.91,4329.09763985958
-21.9,4329.09781441578
-21.89,4329.09798897198
-21.88,4329.09816352818
-21.87,4329.09834095605
-21.86,4329.09852151543
-21.85,4329.0987020748
-21.84,4329.09888263418
-21.83,4329.09906319356
-21.82,4329.09924375293
-21.81,4329.09942431231
-21.8,4329.09960487169
-21.79,4329.09978543106
-21.78,4329.09996599044
-21.77,4329.10015207502
-21.76,4329.10033882467
-21.75,4329.10052557431
-21.74,4329.10071232395
-21.73,4329.1008990736
-21.72,4329.10108582324
-21.71,4329.10127257289
-21.7,4329.10145932253
-21.69,4329.10164607217
-21.68,4329.10183477976
-21.67,4329.10202791187
-21.66,4329.10222104398
-21.65,4329.10241417609
-21.64,4329.1026073082
-21.63,4329.10280044032
-21.62,4329.10299357243
-21.61,4329.10318670454
-21.6,4329.10337983665
-21.59,4329.10357296876
-21.58,4329.1037708448
-21.57,4329.1039705568
-21.56,4329.1041702688
-21.55,4329.1043699808
-21.54,4329.1045696928
-21.53,4329.1047694048
-21.52,4329.10496911679
-21.51,4329.10516882879
-21.5,4329.10536854079
-21.49,4329.10556916967
-21.48,4329.10577566432
-21.47,4329.10598215897
-21.46,4329.10618865362
-21.45,4329.10639514826
-21.44,4329.10660164291
-21.43,4329.10680813756
-21.42,4329.1070146322
-21.41,4329.10722112685
-21.4,4329.1074276215
-21.39,4329.10763795683
-21.38,4329.10785144234
-21.37,4329.10806492785
-21.36,4329.10827841336
-21.35,4329.10849189887
-21.34,4329.10870538439
-21.33,4329.1089188699
-21.32,4329.10913235541
-21.31,4329.10934584092
-21.3,4329.10955932643
-21.29,4329.10977975429
-21.28,4329.11000044446
-21.27,4329.11022113462
-21.26,4329.11044182479
-21.25,4329.11066251495
-21.24,4329.11088320512
-21.23,4329.11110389529
-21.22,4329.11132458545
-21.21,4329.11154527562
-21.2,4329.11176877061
-21.19,4329.11199688492
-21.18,4329.11222499922
-21.17,4329.11245311353
-21.16,4329.11268122784
-21.15,4329.11290934214
-21.14,4329.11313745645
-21.13,4329.11336557076
-21.12,4329.11359368507
-21.11,4329.11382179937
-21.1,4329.11405597207
-21.09,4329.11429173582
-21.08,4329.11452749958
-21.07,4329.11476326333
-21.06,4329.11499902708
-21.05,4329.11523479084
-21.04,4329.11547055459
-21.03,4329.11570631834
-21.02,4329.11594208209
-21.01,4329.11617947092
-21,4329.11642311537
-20.99,4329.11666675981
-20.98,4329.11691040426
-20.97,4329.1171540487
-20.96,4329.11739769315
-20.95,4329.1176413376
-20.94,4329.11788498204
-20.93,4329.11812862649
-20.92,4329.11837227094
-20.91,4329.11862095191
-20.9,4329.11887271437
-20.89,4329.11912447682
-20.88,4329.11937623928
-20.87,4329.11962800173
-20.86,4329.11987976419
-20.85,4329.12013152664
-20.84,4329.1203832891
-20.83,4329.12063505155
-20.82,4329.12088710348
-20.81,4329.12114722746
-20.8,4329.12140735143
-20.79,4329.12166747541
-20.78,4329.12192759938
-20.77,4329.12218772335
-20.76,4329.12244784733
-20.75,4329.1227079713
-20.74,4329.12296809527
-20.73,4329.12322821925
-20.72,4329.12349220822
-20.71,4329.12376094355
-20.7,4329.12402967888
-20.69,4329.12429841421
-20.68,4329.12456714954
-20.67,4329.12483588486
-20.66,4329.12510462019
-20.65,4329.12537335552
-20.64,4329.12564209085
-20.63,4329.12591082618
-20.62,4329.12618721457
-20.61,4329.12646481754
-20.6,4329.12674242051
-20.59,4329.12702002349
-20.58,4329.12729762646
-20.57,4329.12757522944
-20.56,4329.12785283241
-20.55,4329.12813043539
-20.54,4329.12840803836
-20.53,4329.12868817266
-20.52,4329.12897490615
-20.51,4329.12926163965
-20.5,4329.12954837315
-20.49,4329.12983510665
-20.48,4329.13012184015
-20.47,4329.13040857365
-20.46,4329.13069530715
-20.45,4329.13098204065
-20.44,4329.13126877415
-20.43,4329.1315620073
-20.42,4329.13185814092
-20.41,4329.13215427454
-20.4,4329.13245040817
-20.39,4329.13274654179
-20.38,4329.13304267542
-20.37,4329.13333880904
-20.36,4329.13363494267
-20.35,4329.13393107629
-20.34,4329.13422823223
-20.33,4329.13453404244
-20.32,4329.13483985265
-20.31,4329.13514566285
-20.3,4329.13545147306
-20.29,4329.13575728327
-20.28,4329.13606309348
-20.27,4329.13636890368
-20.26,4329.13667471389
-20.25,4329.1369805241
-20.24,4329.13729151207
-20.23,4329.13760728232
-20.22,4329.13792305256
-20.21,4329.1382388228
-20.2,4329.13855459304
-20.19,4329.13887036328
-20.18,4329.13918613353
-20.17,4329.13950190377
-20.16,4329.13981767401
-20.15,4329.14013344426
-20.14,4329.14045878919
-20.13,4329.14078481005
-20.12,4329.14111083092
-20.11,4329.14143685178
-20.1,4329.14176287264
-20.09,4329.1420888935
-20.08,4329.14241491437
-20.07,4329.14274093523
-20.06,4329.14306695609
-20.05,4329.14339665062
-20.04,4329.14373321996
-20.03,4329.1440697893
-20.02,4329.14440635865
-20.01,4329.14474292799
-20,4329.14507949733
-19.99,4329.14541606667
-19.98,4329.14575263601
-19.97,4329.14608920535
-19.96,4329.14642577469
-19.95,4329.1467706197
-19.94,4329.14711804279
-19.93,4329.14746546588
-19.92,4329.14781288897
-19.91,4329.14816031206
-19.9,4329.14850773515
-19.89,4329.14885515824
-19.88,4329.14920258133
-19.87,4329.14955000442
-19.86,4329.14989940039
-19.85,4329.15025799005
-19.84,4329.15061657972
-19.83,4329.15097516939
-19.82,4329.15133375906
-19.81,4329.15169234873
-19.8,4329.1520509384
-19.79,4329.15240952807
-19.78,4329.15276811774
-19.77,4329.15312670741
-19.76,4329.15349208461
