"Time","Left.Thalamus.Proper"
-0.960000000000001,6299.78387590836
-0.950000000000003,6299.72475139525
-0.939999999999998,6299.66562688214
-0.93,6299.60650236903
-0.920000000000002,6299.54737785592
-0.909999999999997,6299.4882533428
-0.899999999999999,6299.42912882969
-0.890000000000001,6299.37000431658
-0.880000000000003,6299.31089835836
-0.869999999999997,6299.25187181406
-0.859999999999999,6299.19284526977
-0.850000000000001,6299.13381872547
-0.839999999999996,6299.07479218118
-0.829999999999998,6299.01576563688
-0.82,6298.95673909259
-0.810000000000002,6298.89771254829
-0.799999999999997,6298.838686004
-0.789999999999999,6298.7796594597
-0.780000000000001,6298.72069243645
-0.769999999999996,6298.66176450198
-0.759999999999998,6298.60283656751
-0.75,6298.54390863304
-0.740000000000002,6298.48498069856
-0.729999999999997,6298.42605276409
-0.719999999999999,6298.36712482962
-0.710000000000001,6298.30819689515
-0.700000000000003,6298.24926896068
-0.689999999999998,6298.19034279352
-0.68,6298.13151410612
-0.670000000000002,6298.07268541872
-0.659999999999997,6298.01385673132
-0.649999999999999,6297.95502804392
-0.640000000000001,6297.89619935652
-0.630000000000003,6297.83737066913
-0.619999999999997,6297.77854198173
-0.609999999999999,6297.71971329433
-0.600000000000001,6297.66088460693
-0.589999999999996,6297.60209906921
-0.579999999999998,6297.54337026235
-0.57,6297.4846414555
-0.560000000000002,6297.42591264865
-0.549999999999997,6297.36718384179
-0.539999999999999,6297.30845503494
-0.530000000000001,6297.24972622809
-0.519999999999996,6297.19099742123
-0.509999999999998,6297.13226861438
-0.5,6297.07353980753
-0.490000000000002,6297.01489605428
-0.479999999999997,6296.95626775765
-0.469999999999999,6296.89763946102
-0.460000000000001,6296.83901116438
-0.450000000000003,6296.78038286775
-0.439999999999998,6296.72175457112
-0.43,6296.66312627449
-0.420000000000002,6296.60449797786
-0.409999999999997,6296.54586968122
-0.399999999999999,6296.48726772287
-0.390000000000001,6296.42874056232
-0.380000000000003,6296.37021340177
-0.369999999999997,6296.31168624122
-0.359999999999999,6296.25315908067
-0.350000000000001,6296.19463192012
-0.339999999999996,6296.13610475957
-0.329999999999998,6296.07757759902
-0.32,6296.01905043847
-0.310000000000002,6295.96052327792
-0.299999999999997,6295.90206476642
-0.289999999999999,6295.84363936397
-0.280000000000001,6295.78521396153
-0.269999999999996,6295.72678855909
