"Time","P_D1D2"
-43.48,-277137.820556143
-43.47,-277054.987686577
-43.46,-276972.154817012
-43.45,-276889.321947446
-43.44,-276806.489077881
-43.43,-276723.656208315
-43.42,-276640.823338749
-43.41,-276557.990469184
-43.4,-276475.157599618
-43.39,-276392.296030121
-43.38,-276309.181366562
-43.37,-276226.066703003
-43.36,-276142.952039444
-43.35,-276059.837375884
-43.34,-275976.722712325
-43.33,-275893.608048766
-43.32,-275810.493385207
-43.31,-275727.378721648
-43.3,-275644.264058088
-43.29,-275561.149394529
-43.28,-275478.03473097
-43.27,-275394.648430464
-43.26,-275311.251530808
-43.25,-275227.854631153
-43.24,-275144.457731497
-43.23,-275061.060831841
-43.22,-274977.663932185
-43.21,-274894.267032529
-43.2,-274810.870132873
-43.19,-274727.473233217
-43.18,-274644.076333561
-43.17,-274560.679433905
-43.16,-274477.049879188
-43.15,-274393.370303333
-43.14,-274309.690727478
-43.13,-274226.011151624
-43.12,-274142.331575769
-43.11,-274058.651999914
-43.1,-273974.972424059
-43.09,-273891.292848205
-43.08,-273807.61327235
-43.07,-273723.933696495
-43.06,-273640.25412064
-43.05,-273556.380995689
-43.04,-273472.418305549
-43.03,-273388.455615409
-43.02,-273304.492925269
-43.01,-273220.530235129
-43,-273136.567544989
-42.99,-273052.604854849
-42.98,-272968.642164709
-42.97,-272884.67947457
-42.96,-272800.71678443
-42.95,-272716.75409429
-42.94,-272632.637084263
-42.93,-272548.390843782
-42.92,-272464.144603302
-42.91,-272379.898362821
-42.9,-272295.652122341
-42.89,-272211.405881861
-42.88,-272127.15964138
-42.87,-272042.9134009
-42.86,-271958.667160419
-42.85,-271874.420919939
-42.84,-271790.174679459
-42.83,-271705.813470702
-42.82,-271621.283245872
-42.81,-271536.753021041
-42.8,-271452.222796211
-42.79,-271367.69257138
-42.78,-271283.16234655
-42.77,-271198.632121719
-42.76,-271114.101896889
-42.75,-271029.571672058
-42.74,-270945.041447228
-42.73,-270860.511222398
-42.72,-270775.905502453
-42.71,-270691.090861323
-42.7,-270606.276220194
-42.69,-270521.461579065
-42.68,-270436.646937935
-42.67,-270351.832296806
-42.66,-270267.017655677
-42.65,-270182.203014548
-42.64,-270097.388373418
-42.63,-270012.573732289
-42.62,-269927.75909116
-42.61,-269842.908548768
-42.6,-269757.809061467
-42.59,-269672.709574166
-42.58,-269587.610086865
-42.57,-269502.510599564
-42.56,-269417.411112263
-42.55,-269332.311624962
-42.54,-269247.212137661
-42.53,-269162.11265036
-42.52,-269077.013163058
-42.51,-268991.913675758
-42.5,-268906.814188456
-42.49,-268821.433239612
-42.48,-268736.048478357
-42.47,-268650.663717102
-42.46,-268565.278955848
-42.45,-268479.894194593
-42.44,-268394.509433338
-42.43,-268309.124672083
-42.42,-268223.739910828
-42.41,-268138.355149573
-42.4,-268052.970388318
-42.39,-267967.585627063
-42.38,-267881.958811208
-42.37,-267796.288350323
-42.36,-267710.617889437
-42.35,-267624.947428552
-42.34,-267539.276967667
-42.33,-267453.606506782
-42.32,-267367.936045897
-42.31,-267282.265585012
-42.3,-267196.595124127
-42.29,-267110.924663242
-42.28,-267025.254202356
-42.27,-266939.381213994
-42.26,-266853.424629923
-42.25,-266767.468045852
-42.24,-266681.511461781
-42.23,-266595.55487771
-42.22,-266509.598293639
-42.21,-266423.641709568
-42.2,-266337.685125497
-42.19,-266251.728541426
-42.18,-266165.771957355
-42.17,-266079.815373284
-42.16,-265993.695908161
-42.15,-265907.452779484
-42.14,-265821.209650807
-42.13,-265734.966522131
-42.12,-265648.723393454
-42.11,-265562.480264777
-42.1,-265476.2371361
-42.09,-265389.994007424
-42.08,-265303.750878747
-42.07,-265217.50775007
-42.06,-265131.264621393
-42.05,-265044.898376506
-42.04,-264958.368283954
-42.03,-264871.838191402
-42.02,-264785.308098851
-42.01,-264698.778006299
-42,-264612.247913747
-41.99,-264525.717821195
-41.98,-264439.187728644
-41.97,-264352.657636092
-41.96,-264266.12754354
-41.95,-264179.597450988
-41.94,-264092.984124588
-41.93,-264006.166651058
-41.92,-263919.349177527
-41.91,-263832.531703997
