"Time","Left.Lateral.Ventricle"
23.34,32282.0390999689
23.35,32283.8271863916
23.36,32285.6152728142
23.37,32287.4033592369
23.38,32289.1934891453
23.39,32290.9836534939
23.4,32292.7738178424
23.41,32294.563982191
23.42,32296.3541465395
23.43,32298.1443108881
23.44,32299.9344752367
23.45,32301.7246395852
23.46,32303.5148039338
23.47,32305.3057960338
23.48,32307.0980420881
23.49,32308.8902881424
23.5,32310.6825341967
23.51,32312.4747802509
23.52,32314.2670263052
23.53,32316.0592723595
23.54,32317.8515184137
23.55,32319.643764468
23.56,32321.4360105223
23.57,32323.2299496571
23.58,32325.0242812044
23.59,32326.8186127518
23.6,32328.6129442991
23.61,32330.4072758465
23.62,32332.2016073938
23.63,32333.9959389412
23.64,32335.7902704885
23.65,32337.5846020359
23.66,32339.3794058515
23.67,32341.1758266869
23.68,32342.9722475223
23.69,32344.7686683577
23.7,32346.5650891931
23.71,32348.3615100285
23.72,32350.1579308639
23.73,32351.9543516992
23.74,32353.7507725346
23.75,32355.54719337
23.76,32357.3449543032
23.77,32359.1434682292
23.78,32360.9419821551
23.79,32362.7404960811
23.8,32364.5390100071
23.81,32366.3375239331
23.82,32368.136037859
23.83,32369.934551785
23.84,32371.733065711
23.85,32373.5316938216
23.86,32375.3323046483
23.87,32377.1329154751
23.88,32378.9335263018
23.89,32380.7341371286
23.9,32382.5347479553
23.91,32384.335358782
23.92,32386.1359696088
23.93,32387.9365804355
23.94,32389.7371912623
23.95,32391.5387866111
23.96,32393.3414981564
23.97,32395.1442097017
23.98,32396.946921247
23.99,32398.7496327923
24,32400.5523443377
24.01,32402.355055883
24.02,32404.1577674283
24.03,32405.9604789736
24.04,32407.763190519
24.05,32409.5677600932
24.06,32411.3725761826
24.07,32413.177392272
24.08,32414.9822083613
24.09,32416.7870244507
24.1,32418.5918405401
24.11,32420.3966566295
24.12,32422.2014727189
24.13,32424.0062888082
24.14,32425.8117312352
24.15,32427.6186557018
24.16,32429.4255801684
24.17,32431.232504635
24.18,32433.0394291015
24.19,32434.8463535681
24.2,32436.6532780347
24.21,32438.4602025013
24.22,32440.2671269678
24.23,32442.0740514344
24.24,32443.8824782722
24.25,32445.6915149569
24.26,32447.5005516415
24.27,32449.3095883261
24.28,32451.1186250107
24.29,32452.9276616953
24.3,32454.7366983799
24.31,32456.5457350645
24.32,32458.3547717491
24.33,32460.1640739625
24.34,32461.9752267137
24.35,32463.7863794649
24.36,32465.5975322161
24.37,32467.4086849673
24.38,32469.2198377185
24.39,32471.0309904696
24.4,32472.8421432208
24.41,32474.653295972
24.42,32476.4644487232
24.43,32478.2767455711
24.44,32480.0900182451
24.45,32481.9032909192
24.46,32483.7165635932
24.47,32485.5298362673
24.48,32487.3431089413
24.49,32489.1563816153
24.5,32490.9696542894
24.51,32492.7829269634
24.52,32494.5961996374
24.53,32496.4114981781
24.54,32498.226894639
24.55,32500.0422910999
24.56,32501.8576875608
24.57,32503.6730840217
24.58,32505.4884804826
24.59,32507.3038769435
24.6,32509.1192734044
24.61,32510.9346698653
24.62,32512.7508495157
24.63,32514.5683736353
24.64,32516.3858977548
24.65,32518.2034218744
24.66,32520.0209459939
24.67,32521.8384701135
24.68,32523.655994233
24.69,32525.4735183526
24.7,32527.2910424721
24.71,32529.1085665917
24.72,32530.9277582239
24.73,32532.7474138817
24.74,32534.5670695395
24.75,32536.3867251972
24.76,32538.206380855
24.77,32540.0260365127
24.78,32541.8456921705
24.79,32543.6653478283
24.8,32545.485003486
24.81,32547.3050787774
24.82,32549.1268698607
24.83,32550.948660944
24.84,32552.7704520273
24.85,32554.5922431107
24.86,32556.414034194
24.87,32558.2358252773
24.88,32560.0576163607
24.89,32561.879407444
24.9,32563.7011985273
24.91,32565.5242961284
24.92,32567.3482265325
24.93,32569.1721569366
24.94,32570.9960873406
24.95,32572.8200177447
24.96,32574.6439481488
24.97,32576.4678785528
24.98,32578.2918089569
24.99,32580.115739361
25,32581.9397231781
25.01,32583.7657968059
25.02,32585.5918704337
25.03,32587.4179440616
25.04,32589.2440176894
25.05,32591.0700913172
25.06,32592.896164945
25.07,32594.7222385729
25.08,32596.5483122007
25.09,32598.3743858285
25.1,32600.2014023221
25.11,32602.0296230846
25.12,32603.857843847
25.13,32605.6860646094
25.14,32607.5142853719
25.15,32609.3425061343
25.16,32611.1707268968
25.17,32612.9989476592
25.18,32614.8271684217
25.19,32616.6553891841
25.2,32618.4854455116
25.21,32620.3158173274
25.22,32622.1461891432
25.23,32623.976560959
25.24,32625.8069327748
25.25,32627.6373045906
25.26,32629.4676764064
25.27,32631.2980482222
25.28,32633.128420038
25.29,32634.9593683944
25.3,32636.7918951902
25.31,32638.624421986
25.32,32640.4569487818
25.33,32642.2894755775
25.34,32644.1220023733
25.35,32645.9545291691
25.36,32647.7870559648
25.37,32649.6195827606
25.38,32651.4521095564
25.39,32653.2861081801
25.4,32655.1207938904
25.41,32656.9554796006
25.42,32658.7901653109
25.43,32660.6248510212
25.44,32662.4595367315
25.45,32664.2942224418
25.46,32666.128908152
25.47,32667.9635938623
25.48,32669.7984870989
25.49,32671.6353356661
25.5,32673.4721842334
25.51,32675.3090328006
25.52,32677.1458813678
25.53,32678.9827299351
25.54,32680.8195785023
25.55,32682.6564270696
25.56,32684.4932756368
25.57,32686.3301242041
25.58,32688.1680781805
25.59,32690.0070935551
25.6,32691.8461089297
25.61,32693.6851243043
25.62,32695.5241396789
25.63,32697.3631550535
25.64,32699.2021704282
25.65,32701.0411858028
25.66,32702.8802011774
25.67,32704.719216552
25.68,32706.5602384986
25.69,32708.4014246389
25.7,32710.2426107793
25.71,32712.0837969196
25.72,32713.92498306
25.73,32715.7661692003
25.74,32717.6073553406
25.75,32719.448541481
25.76,32721.2897276213
25.77,32723.1316500542
25.78,32724.9750109267
25.79,32726.8183717991
25.8,32728.6617326715
25.81,32730.5050935439
25.82,32732.3484544163
25.83,32734.1918152888
25.84,32736.0351761612
25.85,32737.8785370336
25.86,32739.721897906
25.87,32741.5668988491
25.88,32743.4124384279
25.89,32745.2579780068
25.9,32747.1035175856
25.91,32748.9490571645
25.92,32750.7945967433
25.93,32752.6401363221
25.94,32754.485675901
25.95,32756.3312154798
25.96,32758.1771195204
25.97,32760.024841788
25.98,32761.8725640556
25.99,32763.7202863233
26,32765.5680085909
26.01,32767.4157308585
26.02,32769.2634531261
26.03,32771.1111753938
26.04,32772.9588976614
26.05,32774.806619929
26.06,32776.6556130596
26.07,32778.5055220064
26.08,32780.3554309532
26.09,32782.2053399
26.1,32784.0552488468
26.11,32785.9051577936
26.12,32787.7550667404
26.13,32789.6049756872
26.14,32791.454884634
26.15,32793.3047935809
26.16,32795.1568831055
26.17,32797.0089827299
26.18,32798.8610823544
26.19,32800.7131819788
26.2,32802.5652816033
26.21,32804.4173812277
26.22,32806.2694808522
26.23,32808.1215804766
26.24,32809.9736801011
26.25,32811.8266786578
26.26,32813.6809729664
26.27,32815.535267275
26.28,32817.3895615837
26.29,32819.2438558923
26.3,32821.0981502009
26.31,32822.9524445095
26.32,32824.8067388181
26.33,32826.6610331268
26.34,32828.5153274354
26.35,32830.3714330341
26.36,32832.2279260415
26.37,32834.0844190489
26.38,32835.9409120564
26.39,32837.7974050638
26.4,32839.6538980712
26.41,32841.5103910786
26.42,32843.366884086
26.43,32845.2233770934
26.44,32847.080394363
26.45,32848.939090092
26.46,32850.7977858209
26.47,32852.6564815498
26.48,32854.5151772788
26.49,32856.3738730077
26.5,32858.2325687366
26.51,32860.0912644656
26.52,32861.9499601945
26.53,32863.8086559235
26.54,32865.6687909233
26.55,32867.5296934046
26.56,32869.3905958859
26.57,32871.2514983673
26.58,32873.1124008486
26.59,32874.9733033299
26.6,32876.8342058112
26.61,32878.6951082926
26.62,32880.5560107739
26.63,32882.4170600913
26.64,32884.280173364
26.65,32886.1432866368
26.66,32888.0063999095
26.67,32889.8695131822
26.68,32891.7326264549
26.69,32893.5957397277
26.7,32895.4588530004
26.71,32897.3219662731
26.72,32899.1850795458
26.73,32901.0492573221
26.74,32902.9145854334
26.75,32904.7799135447
26.76,32906.645241656
26.77,32908.5105697673
26.78,32910.3758978786
26.79,32912.2412259899
26.8,32914.1065541013
26.81,32915.9718822126
26.82,32917.8372103239
26.83,32919.7045239663
26.84,32921.5720709715
26.85,32923.4396179768
26.86,32925.307164982
26.87,32927.1747119873
26.88,32929.0422589925
26.89,32930.9098059978
26.9,32932.7773530031
26.91,32934.6449000083
26.92,32936.5131339849
26.93,32938.3829039477
26.94,32940.2526739105
26.95,32942.1224438732
26.96,32943.992213836
26.97,32945.8619837988
26.98,32947.7317537616
26.99,32949.6015237244
27,32951.4712936871
27.01,32953.3410636499
27.02,32955.2124442905
27.03,32957.0844412826
27.04,32958.9564382747
27.05,32960.8284352668
27.06,32962.7004322589
27.07,32964.572429251
27.08,32966.4444262431
27.09,32968.3164232352
27.1,32970.1884202273
27.11,32972.0607238768
27.12,32973.9349519783
27.13,32975.8091800798
27.14,32977.6834081812
27.15,32979.5576362827
27.16,32981.4318643842
27.17,32983.3060924857
27.18,32985.1803205871
27.19,32987.0545486886
27.2,32988.9287767901
27.21,32990.8042379424
27.22,32992.6807012415
27.23,32994.5571645407
27.24,32996.4336278398
27.25,32998.3100911389
27.26,33000.1865544381
27.27,33002.0630177372
27.28,33003.9394810364
27.29,33005.8159443355
27.3,33007.6924076347
27.31,33009.5710337729
27.32,33011.4497363663
27.33,33013.3284389597
27.34,33015.2071415531
27.35,33017.0858441465
27.36,33018.9645467399
27.37,33020.8432493333
27.38,33022.7219519268
27.39,33024.6006545202
27.4,33026.4802097468
27.41,33028.3611557394
27.42,33030.242101732
27.43,33032.1230477245
27.44,33034.0039937171
27.45,33035.8849397096
27.46,33037.7658857022
27.47,33039.6468316948
27.48,33041.5277776873
27.49,33043.4087236799
27.5,33045.2914548013
27.51,33047.1746483063
27.52,33049.0578418112
27.53,33050.9410353161
27.54,33052.8242288211
27.55,33054.707422326
27.56,33056.5906158309
27.57,33058.4738093358
27.58,33060.3570028408
27.59,33062.2406657538
27.6,33064.1261108926
27.61,33066.0115560315
27.62,33067.8970011703
27.63,33069.7824463092
27.64,33071.667891448
27.65,33073.5533365869
27.66,33075.4387817257
27.67,33077.3242268646
27.68,33079.2096720034
27.69,33081.0965217615
27.7,33082.9842226641
27.71,33084.8719235668
27.72,33086.7596244695
27.73,33088.6473253722
27.74,33090.5350262749
27.75,33092.4227271776
27.76,33094.3104280803
27.77,33096.1981289829
27.78,33098.0859132437
27.79,33099.9758740485
27.8,33101.8658348533
27.81,33103.7557956582
27.82,33105.645756463
27.83,33107.5357172678
27.84,33109.4256780726
27.85,33111.3156388774
27.86,33113.2055996822
27.87,33115.095560487
27.88,33116.9865425847
27.89,33118.8787674383
27.9,33120.770992292
27.91,33122.6632171456
27.92,33124.5554419992
27.93,33126.4476668528
27.94,33128.3398917065
27.95,33130.2321165601
27.96,33132.1243414137
27.97,33134.0165662673
27.98,33135.9107537911
27.99,33137.8052468486
28,33139.6997399062
28.01,33141.5942329637
28.02,33143.4887260213
28.03,33145.3832190788
28.04,33147.2777121364
28.05,33149.1722051939
28.06,33151.0666982515
28.07,33152.9618264418
28.08,33154.8585918668
28.09,33156.7553572919
28.1,33158.6521227169
28.11,33160.5488881419
28.12,33162.4456535669
28.13,33164.342418992
28.14,33166.239184417
28.15,33168.135949842
28.16,33170.032715267
28.17,33171.9310599464
28.18,33173.8301019109
28.19,33175.7291438754
28.2,33177.6281858399
28.21,33179.5272278044
28.22,33181.4262697689
28.23,33183.3253117334
28.24,33185.224353698
28.25,33187.1233956624
28.26,33189.0226837485
28.27,33190.924006433
28.28,33192.8253291174
28.29,33194.7266518019
28.3,33196.6279744863
28.31,33198.5292971708
28.32,33200.4306198553
28.33,33202.3319425397
28.34,33204.2332652242
28.35,33206.1345879087
28.36,33208.0371035889
28.37,33209.9407111823
28.38,33211.8443187757
28.39,33213.7479263691
28.4,33215.6515339625
28.41,33217.5551415559
28.42,33219.4587491493
28.43,33221.3623567427
28.44,33223.2659643361
28.45,33225.1695719295
28.46,33227.0753228711
28.47,33228.9812195709
28.48,33230.8871162708
28.49,33232.7930129706
28.5,33234.6989096704
28.51,33236.6048063703
28.52,33238.5107030701
28.53,33240.4165997699
28.54,33242.3224964698
28.55,33244.2291970465
28.56,33246.1373870588
28.57,33248.0455770711
28.58,33249.9537670834
28.59,33251.8619570957
28.6,33253.770147108
28.61,33255.6783371203
28.62,33257.5865271326
28.63,33259.4947171449
28.64,33261.4029071572
28.65,33263.3128541725
28.66,33265.2233417118
28.67,33267.1338292512
28.68,33269.0443167905
28.69,33270.9548043299
28.7,33272.8652918693
28.71,33274.7757794086
28.72,33276.686266948
28.73,33278.5967544873
28.74,33280.507653907
28.75,33282.4204431965
28.76,33284.3332324861
28.77,33286.2460217757
28.78,33288.1588110653
28.79,33290.0716003548
28.8,33291.9843896444
28.81,33293.897178934
28.82,33295.8099682236
28.83,33297.7227575131
28.84,33299.636914591
28.85,33301.5520098626
28.86,33303.4671051341
28.87,33305.3822004057
28.88,33307.2972956772
