"Time","MMSE"
57.91,13.5780569064765
57.92,13.5762745804212
57.93,13.5744922543658
57.94,13.5727099283105
57.95,13.5709276022551
57.96,13.5691452761997
57.97,13.5673629501444
57.98,13.565580624089
57.99,13.5637982980337
58,13.562019067127
58.01,13.5602401978611
58.02,13.5584613285951
58.03,13.5566824593292
58.04,13.5549035900632
58.05,13.5531247207973
58.06,13.5513458515313
58.07,13.5495669822654
58.08,13.5477881129994
58.09,13.5460092437335
58.1,13.5442303744675
58.11,13.5424515052016
58.12,13.5406739051123
58.13,13.5388985054555
58.14,13.5371231057988
58.15,13.535347706142
58.16,13.5335723064852
58.17,13.5317969068284
58.18,13.5300215071717
58.19,13.5282461075149
58.2,13.5264707078581
58.21,13.5246953082014
58.22,13.5229199085446
58.23,13.5211445088878
58.24,13.519369109231
58.25,13.5175966215449
58.26,13.5158247042158
58.27,13.5140527868867
58.28,13.5122808695577
58.29,13.5105089522286
58.3,13.5087370348996
58.31,13.5069651175705
58.32,13.5051932002414
58.33,13.5034212829124
58.34,13.5016493655833
58.35,13.4998774482542
58.36,13.4981055309252
58.37,13.4963346852493
58.38,13.494566262865
58.39,13.4927978404807
58.4,13.4910294180964
58.41,13.4892609957121
58.42,13.4874925733278
58.43,13.4857241509436
58.44,13.4839557285593
58.45,13.482187306175
58.46,13.4804188837907
58.47,13.4786504614064
58.48,13.4768820390221
58.49,13.4751136166378
58.5,13.4733479197085
58.51,13.4715830047844
58.52,13.4698180898603
58.53,13.4680531749362
58.54,13.466288260012
58.55,13.4645233450879
58.56,13.4627584301638
58.57,13.4609935152397
58.58,13.4592286003156
58.59,13.4574636853914
58.6,13.4556987704673
58.61,13.4539338555432
58.62,13.45216981165
58.63,13.4504084165995
58.64,13.4486470215491
58.65,13.4468856264986
58.66,13.4451242314482
58.67,13.4433628363977
58.68,13.4416014413473
58.69,13.4398400462968
58.7,13.4380786512463
58.71,13.4363172561959
58.72,13.4345558611454
58.73,13.432794466095
58.74,13.4310330710445
58.75,13.4292742116668
58.76,13.4275163488014
58.77,13.425758485936
58.78,13.4240006230707
58.79,13.4222427602053
58.8,13.4204848973399
58.81,13.4187270344745
58.82,13.4169691716091
58.83,13.4152113087438
58.84,13.4134534458784
58.85,13.411695583013
58.86,13.4099377201476
58.87,13.408180524664
58.88,13.4064262061928
58.89,13.4046718877216
58.9,13.4029175692504
58.91,13.4011632507792
58.92,13.399408932308
58.93,13.3976546138368
58.94,13.3959002953656
58.95,13.3941459768944
58.96,13.3923916584232
58.97,13.390637339952
58.98,13.3888830214808
58.99,13.3871287030096
59,13.3853767272335
59.01,13.3836259652631
59.02,13.3818752032927
59.03,13.3801244413223
59.04,13.3783736793519
59.05,13.3766229173815
59.06,13.3748721554111
59.07,13.3731213934407
59.08,13.3713706314703
59.09,13.3696198694999
59.1,13.3678691075295
59.11,13.3661183455591
59.12,13.3643680443667
59.13,13.362620850901
59.14,13.3608736574354
59.15,13.3591264639697
59.16,13.357379270504
59.17,13.3556320770384
59.18,13.3538848835727
59.19,13.352137690107
59.2,13.3503904966414
59.21,13.3486433031757
59.22,13.34689610971
59.23,13.3451489162444
59.24,13.3434017227787
59.25,13.3416566759067
59.26,13.3399130628468
59.27,13.338169449787
59.28,13.3364258367271
59.29,13.3346822236672
59.3,13.3329386106073
59.31,13.3311949975474
59.32,13.3294513844876
59.33,13.3277077714277
59.34,13.3259641583678
59.35,13.3242205453079
59.36,13.3224769322481
59.37,13.3207335704804
59.38,13.3189935496243
59.39,13.3172535287682
59.4,13.3155135079121
59.41,13.3137734870561
59.42,13.3120334662
59.43,13.3102934453439
59.44,13.3085534244878
59.45,13.3068134036317
59.46,13.3050733827756
59.47,13.3033333619196
59.48,13.3015933410635
59.49,13.2998533202074
59.5,13.298115246792
59.51,13.2963788298345
59.52,13.294642412877
59.53,13.2929059959194
59.54,13.2911695789619
59.55,13.2894331620044
59.56,13.2876967450469
59.57,13.2859603280894
59.58,13.2842239111319
59.59,13.2824874941743
59.6,13.2807510772168
59.61,13.2790146602593
59.62,13.2772782822993
59.63,13.2755454808317
