"Time","Right.Hippocampus"
1.27,2802.35620778767
1.28,2802.31615137921
1.29,2802.27609497075
1.3,2802.23603856229
1.31,2802.19598215382
1.32,2802.15592574536
1.33,2802.11589922722
1.34,2802.07588455767
1.35,2802.03586988812
1.36,2801.99585521857
1.37,2801.95584054903
1.38,2801.91582587948
1.39,2801.87581120993
1.4,2801.83579654038
1.41,2801.79578187084
1.42,2801.75577268314
1.43,2801.71580007446
1.44,2801.67582746578
1.45,2801.63585485709
1.46,2801.59588224841
1.47,2801.55590963972
1.48,2801.51593703104
1.49,2801.47596442236
1.5,2801.43599181367
1.51,2801.39601920499
1.52,2801.35606967472
1.53,2801.31613944774
1.54,2801.27620922076
1.55,2801.23627899378
1.56,2801.19634876681
1.57,2801.15641853983
1.58,2801.11648831285
1.59,2801.07655808587
1.6,2801.03662785889
1.61,2800.99669763192
1.62,2800.95680834463
1.63,2800.91692081909
1.64,2800.87703329354
1.65,2800.837145768
1.66,2800.79725824245
1.67,2800.75737071691
1.68,2800.71748319136
1.69,2800.67759566582
1.7,2800.63770814028
1.71,2800.59783665899
1.72,2800.55799215348
1.73,2800.51814764798
1.74,2800.47830314247
1.75,2800.43845863697
1.76,2800.39861413146
1.77,2800.35876962596
1.78,2800.31892512045
1.79,2800.27908061495
1.8,2800.23923610944
1.81,2800.19942571724
1.82,2800.15962454925
1.83,2800.11982338126
1.84,2800.08002221327
1.85,2800.04022104528
1.86,2800.00041987729
1.87,2799.9606187093
1.88,2799.92081754131
1.89,2799.88101637332
1.9,2799.84122399546
1.91,2799.80146648132
1.92,2799.76170896718
1.93,2799.72195145304
1.94,2799.68219393891
1.95,2799.64243642477
1.96,2799.60267891063
1.97,2799.56292139649
1.98,2799.52316388236
1.99,2799.48340636822
2,2799.44367591991
2.01,2799.40396237482
2.02,2799.36424882972
2.03,2799.32453528463
2.04,2799.28482173954
2.05,2799.24510819445
2.06,2799.20539464936
2.07,2799.16568110427
2.08,2799.12596755918
2.09,2799.08625533245
2.1,2799.04658607044
2.11,2799.00691680844
2.12,2798.96724754644
2.13,2798.92757828444
2.14,2798.88790902243
2.15,2798.84823976043
2.16,2798.80857049843
2.17,2798.76890123643
2.18,2798.72923197442
2.19,2798.68958251199
2.2,2798.64995784596
2.21,2798.61033317993
2.22,2798.5707085139
2.23,2798.53108384787
2.24,2798.49145918183
2.25,2798.4518345158
2.26,2798.41220984977
2.27,2798.37258518374
2.28,2798.33296051771
2.29,2798.29337439066
2.3,2798.25379463231
2.31,2798.21421487397
2.32,2798.17463511562
2.33,2798.13505535728
2.34,2798.09547559893
2.35,2798.05589584058
2.36,2798.01631608224
2.37,2797.97673632389
2.38,2797.93716888245
2.39,2797.89763434233
2.4,2797.85809980221
2.41,2797.81856526209
2.42,2797.77903072197
2.43,2797.73949618186
2.44,2797.69996164174
2.45,2797.66042710162
2.46,2797.6208925615
2.47,2797.58135802138
2.48,2797.54185474022
2.49,2797.50236572769
2.5,2797.46287671516
2.51,2797.42338770262
2.52,2797.38389869009
2.53,2797.34440967756
2.54,2797.30492066503
2.55,2797.2654316525
2.56,2797.22594263997
2.57,2797.18645824765
2.58,2797.14701507088
2.59,2797.10757189411
2.6,2797.06812871734
2.61,2797.02868554057
2.62,2796.9892423638
2.63,2796.94979918703
2.64,2796.91035601026
2.65,2796.87091283349
2.66,2796.83146965672
2.67,2796.79205024369
2.68,2796.75265320965
2.69,2796.71325617562
2.7,2796.67385914158
2.71,2796.63446210755
2.72,2796.59506507352
2.73,2796.55566803948
2.74,2796.51627100545
2.75,2796.47687397142
2.76,2796.43747693738
2.77,2796.3981230638
2.78,2796.35877247828
2.79,2796.31942189275
2.8,2796.28007130723
2.81,2796.24072072171
2.82,2796.20137013619
2.83,2796.16201955067
2.84,2796.12266896514
2.85,2796.08331837962
2.86,2796.04398384987
2.87,2796.00468001742
2.88,2795.96537618498
2.89,2795.92607235253
2.9,2795.88676852009
2.91,2795.84746468764
2.92,2795.80816085519
2.93,2795.76885702275
2.94,2795.7295531903
2.95,2795.69024935786
2.96,2795.65098117639
2.97,2795.61172440037
2.98,2795.57246762435
2.99,2795.53321084833
3,2795.49395407232
3.01,2795.4546972963
3.02,2795.41544052028
3.03,2795.37618374426
3.04,2795.33692696824
3.05,2795.29767832972
3.06,2795.25846891226
3.07,2795.21925949479
3.08,2795.18005007732
3.09,2795.14084065985
3.1,2795.10163124239
3.11,2795.06242182492
3.12,2795.02321240745
3.13,2794.98400298998
3.14,2794.94479357252
3.15,2794.90561208507
3.16,2794.86645032705
3.17,2794.82728856903
3.18,2794.78812681101
3.19,2794.74896505299
3.2,2794.70980329497
3.21,2794.67064153695
3.22,2794.63147977893
3.23,2794.59231802092
3.24,2794.55315627435
3.25,2794.51404247544
3.26,2794.47492867653
3.27,2794.43581487762
3.28,2794.39670107871
3.29,2794.35758727979
3.3,2794.31847348088
3.31,2794.27935968197
3.32,2794.24024588306
3.33,2794.20113208415
3.34,2794.1620382853
3.35,2794.12297274392
3.36,2794.08390720253
3.37,2794.04484166114
3.38,2794.00577611975
3.39,2793.96671057836
3.4,2793.92764503698
3.41,2793.88857949559
3.42,2793.8495139542
3.43,2793.81044841281
3.44,2793.77142310628
3.45,2793.73240611958
3.46,2793.69338913288
3.47,2793.65437214618
3.48,2793.61535515949
3.49,2793.57633817279
3.5,2793.53732118609
3.51,2793.49830419939
3.52,2793.45928721269
3.53,2793.42028208965
3.54,2793.38131395355
3.55,2793.34234581745
3.56,2793.30337768135
3.57,2793.26440954526
3.58,2793.22544140916
3.59,2793.18647327306
3.6,2793.14750513696
3.61,2793.10853700086
3.62,2793.06956886476
3.63,2793.03063302012
3.64,2792.99171402926
3.65,2792.95279503841
3.66,2792.91387604756
3.67,2792.87495705671
3.68,2792.83603806585
3.69,2792.797119075
3.7,2792.75820008415
3.71,2792.7192810933
3.72,2792.68036562579
3.73,2792.64149607356
3.74,2792.60262652133
3.75,2792.5637569691
3.76,2792.52488741687
3.77,2792.48601786464
3.78,2792.44714831242
3.79,2792.40827876019
3.8,2792.36940920796
3.81,2792.33053965573
3.82,2792.29169424641
3.83,2792.2528744249
3.84,2792.2140546034
3.85,2792.17523478189
3.86,2792.13641496039
3.87,2792.09759513888
3.88,2792.05877531737
3.89,2792.01995549587
3.9,2791.98113567436
3.91,2791.94231585286
3.92,2791.90354103465
3.93,2791.86477123469
3.94,2791.82600143473
3.95,2791.78723163476
3.96,2791.7484618348
3.97,2791.70969203483
3.98,2791.67092223487
3.99,2791.63215243491
4,2791.59338263494
4.01,2791.55462862682
4.02,2791.51590913793
4.03,2791.47718964904
4.04,2791.43847016015
4.05,2791.39975067125
4.06,2791.36103118236
4.07,2791.32231169347
4.08,2791.28359220457
4.09,2791.24487271568
4.1,2791.20615322679
4.11,2791.16747057873
4.12,2791.12880168915
4.13,2791.09013279956
4.14,2791.05146390997
4.15,2791.01279502039
4.16,2790.9741261308
4.17,2790.93545724121
4.18,2790.89678835163
4.19,2790.85811946204
4.2,2790.81945781333
4.21,2790.78083980998
4.22,2790.74222180664
4.23,2790.70360380329
4.24,2790.66498579994
4.25,2790.62636779659
4.26,2790.58774979325
4.27,2790.5491317899
4.28,2790.51051378655
4.29,2790.47189578321
4.3,2790.43330625705
4.31,2790.39473942557
4.32,2790.35617259409
4.33,2790.31760576261
4.34,2790.27903893113
4.35,2790.24047209964
4.36,2790.20190526816
4.37,2790.16333843668
4.38,2790.1247716052
4.39,2790.08620477372
4.4,2790.04768789109
4.41,2790.00917251579
4.42,2789.97065714048
4.43,2789.93214176518
4.44,2789.89362638987
4.45,2789.85511101457
4.46,2789.81659563926
4.47,2789.77808026396
4.48,2789.73956488865
4.49,2789.70106942839
4.5,2789.66260579226
4.51,2789.62414215613
4.52,2789.58567851999
4.53,2789.54721488386
4.54,2789.50875124772
4.55,2789.47028761159
4.56,2789.43182397545
4.57,2789.39336033932
4.58,2789.35489670319
4.59,2789.31647463784
4.6,2789.27806302254
4.61,2789.23965140725
4.62,2789.20123979195
4.63,2789.16282817665
4.64,2789.12441656136
4.65,2789.08600494606
4.66,2789.04759333076
4.67,2789.00918171547
4.68,2788.97078125725
