"Time","Right.Cerebral.White.Matter"
24.66,224532.643345309
24.67,224532.648031078
24.68,224532.652716848
24.69,224532.657402618
24.7,224532.662088387
24.71,224532.666774157
24.72,224532.67138788
24.73,224532.675981554
24.74,224532.680575228
24.75,224532.685168902
24.76,224532.689762577
24.77,224532.694356251
24.78,224532.698949925
24.79,224532.703543599
24.8,224532.708137273
24.81,224532.712713172
24.82,224532.717216388
24.83,224532.721719603
24.84,224532.726222819
24.85,224532.730726035
24.86,224532.735229251
24.87,224532.739732467
24.88,224532.744235683
24.89,224532.748738899
24.9,224532.753242115
24.91,224532.75769107
24.92,224532.76210544
24.93,224532.766519809
24.94,224532.770934178
24.95,224532.775348547
24.96,224532.779762916
24.97,224532.784177286
24.98,224532.788591655
24.99,224532.793006024
25,224532.797418218
25.01,224532.801745328
25.02,224532.806072437
25.03,224532.810399546
25.04,224532.814726655
25.05,224532.819053764
25.06,224532.823380873
25.07,224532.827707982
25.08,224532.832035091
25.09,224532.8363622
25.1,224532.840651677
25.11,224532.844893088
25.12,224532.849134499
25.13,224532.85337591
25.14,224532.857617321
25.15,224532.861858732
25.16,224532.866100143
25.17,224532.870341554
25.18,224532.874582964
25.19,224532.878824375
25.2,224532.882993969
25.21,224532.887151219
25.22,224532.89130847
25.23,224532.89546572
25.24,224532.89962297
25.25,224532.90378022
25.26,224532.907937471
25.27,224532.912094721
25.28,224532.916251971
25.29,224532.92038711
25.3,224532.924461713
25.31,224532.928536316
25.32,224532.932610918
25.33,224532.936685521
25.34,224532.940760124
25.35,224532.944834727
25.36,224532.94890933
25.37,224532.952983933
25.38,224532.957058536
25.39,224532.96107781
25.4,224532.965071255
25.41,224532.9690647
25.42,224532.973058145
25.43,224532.97705159
25.44,224532.981045035
25.45,224532.985038481
25.46,224532.989031926
25.47,224532.993025371
25.48,224532.99701117
25.49,224533.000924923
25.5,224533.004838677
25.51,224533.00875243
25.52,224533.012666184
25.53,224533.016579937
25.54,224533.020493691
25.55,224533.024407444
25.56,224533.028321197
25.57,224533.032234951
25.58,224533.036108785
25.59,224533.03994429
25.6,224533.043779795
25.61,224533.047615299
25.62,224533.051450804
25.63,224533.055286309
25.64,224533.059121814
25.65,224533.062957318
25.66,224533.066792823
25.67,224533.070628328
25.68,224533.074392815
25.69,224533.078151491
25.7,224533.081910167
25.71,224533.085668843
25.72,224533.089427519
25.73,224533.093186195
25.74,224533.096944871
25.75,224533.100703547
25.76,224533.104462222
25.77,224533.10819536
25.78,224533.111878604
25.79,224533.115561849
25.8,224533.119245094
25.81,224533.122928338
25.82,224533.126611583
25.83,224533.130294827
25.84,224533.133978072
25.85,224533.137661316
25.86,224533.141344561
25.87,224533.144972058
25.88,224533.148581246
25.89,224533.152190435
25.9,224533.155799623
25.91,224533.159408811
25.92,224533.163018
25.93,224533.166627188
25.94,224533.170236376
25.95,224533.173845565
25.96,224533.177442613
25.97,224533.180979098
25.98,224533.184515583
25.99,224533.188052068
26,224533.191588553
26.01,224533.195125039
26.02,224533.198661524
26.03,224533.202198009
26.04,224533.205734494
26.05,224533.209270979
26.06,224533.212765984
26.07,224533.216231097
26.08,224533.219696211
26.09,224533.223161324
26.1,224533.226626437
26.11,224533.230091551
26.12,224533.233556664
26.13,224533.237021777
26.14,224533.24048689
26.15,224533.243952004
26.16,224533.247347378
26.17,224533.25074243
26.18,224533.254137481
26.19,224533.257532532
26.2,224533.260927584
26.21,224533.264322635
26.22,224533.267717686
26.23,224533.271112738
26.24,224533.274507789
26.25,224533.277874671
26.26,224533.28120095
26.27,224533.284527228
26.28,224533.287853506
26.29,224533.291179784
26.3,224533.294506063
26.31,224533.297832341
26.32,224533.301158619
26.33,224533.304484897
26.34,224533.307811176
26.35,224533.311081843
26.36,224533.314340616
26.37,224533.317599389
26.38,224533.320858162
26.39,224533.324116935
26.4,224533.327375708
26.41,224533.330634481
26.42,224533.333893254
26.43,224533.337152027
26.44,224533.34039503
26.45,224533.343587545
26.46,224533.34678006
26.47,224533.349972575
26.48,224533.35316509
26.49,224533.356357605
26.5,224533.359550121
26.51,224533.362742636
26.52,224533.365935151
26.53,224533.369127666
26.54,224533.372277767
26.55,224533.375405251
26.56,224533.378532735
26.57,224533.381660219
26.58,224533.384787703
26.59,224533.387915187
26.6,224533.391042671
26.61,224533.394170155
26.62,224533.397297639
26.63,224533.400420884
26.64,224533.403484544
26.65,224533.406548204
26.66,224533.409611864
26.67,224533.412675524
26.68,224533.415739184
26.69,224533.418802844
26.7,224533.421866504
26.71,224533.424930164
26.72,224533.427993824
26.73,224533.43102738
26.74,224533.434028403
26.75,224533.437029426
26.76,224533.440030449
26.77,224533.443031472
26.78,224533.446032495
26.79,224533.449033518
26.8,224533.452034542
26.81,224533.455035565
26.82,224533.458036588
26.83,224533.460982606
26.84,224533.46392216
26.85,224533.466861714
26.86,224533.469801268
26.87,224533.472740822
26.88,224533.475680376
26.89,224533.47861993
26.9,224533.481559484
26.91,224533.484499037
26.92,224533.48741995
26.93,224533.490299183
26.94,224533.493178416
26.95,224533.496057649
26.96,224533.498936882
26.97,224533.501816115
26.98,224533.504695348
26.99,224533.507574581
27,224533.510453815
27.01,224533.513333048
27.02,224533.516169471
27.03,224533.518989513
27.04,224533.521809554
27.05,224533.524629596
27.06,224533.527449638
27.07,224533.530269679
27.08,224533.533089721
27.09,224533.535909762
27.1,224533.538729804
27.11,224533.541541863
27.12,224533.544303824
27.13,224533.547065785
27.14,224533.549827746
27.15,224533.552589707
27.16,224533.555351668
27.17,224533.558113628
27.18,224533.560875589
27.19,224533.56363755
27.2,224533.566399511
27.21,224533.569130035
27.22,224533.571835007
27.23,224533.57453998
27.24,224533.577244952
27.25,224533.579949925
27.26,224533.582654897
27.27,224533.58535987
27.28,224533.588064842
27.29,224533.590769815
27.3,224533.593474787
27.31,224533.596125754
27.32,224533.598774812
27.33,224533.601423871
27.34,224533.604072929
27.35,224533.606721987
27.36,224533.609371045
27.37,224533.612020103
27.38,224533.614669161
27.39,224533.617318219
27.4,224533.619946428
27.41,224533.622540628
27.42,224533.625134828
27.43,224533.627729028
27.44,224533.630323227
27.45,224533.632917427
27.46,224533.635511627
27.47,224533.638105827
27.48,224533.640700027
27.49,224533.643294227
27.5,224533.645845679
27.51,224533.648386059
27.52,224533.650926439
27.53,224533.653466819
27.54,224533.656007199
27.55,224533.658547579
27.56,224533.661087959
27.57,224533.663628339
27.58,224533.666168719
27.59,224533.668698092
27.6,224533.671185673
27.61,224533.673673254
27.62,224533.676160835
27.63,224533.678648416
27.64,224533.681135997
27.65,224533.683623578
27.66,224533.68611116
27.67,224533.688598741
27.68,224533.691086322
27.69,224533.693541651
27.7,224533.695977437
27.71,224533.698413223
27.72,224533.700849009
27.73,224533.703284795
27.74,224533.705720581
27.75,224533.708156367
27.76,224533.710592153
27.77,224533.713027939
27.78,224533.71546185
27.79,224533.717846828
27.8,224533.720231806
27.81,224533.722616783
27.82,224533.725001761
27.83,224533.727386738
27.84,224533.729771716
27.85,224533.732156694
27.86,224533.734541671
27.87,224533.736926649
27.88,224533.739289145
27.89,224533.741624284
27.9,224533.743959423
27.91,224533.746294563
27.92,224533.748629702
27.93,224533.750964841
27.94,224533.753299981
27.95,224533.75563512
27.96,224533.757970259
27.97,224533.760305398
27.98,224533.762598238
27.99,224533.764884493
28,224533.767170747
28.01,224533.769457002
28.02,224533.771743256
28.03,224533.774029511
28.04,224533.776315766
28.05,224533.77860202
28.06,224533.780888275
28.07,224533.783161128
28.08,224533.785399435
28.09,224533.787637743
28.1,224533.78987605
28.11,224533.792114357
28.12,224533.794352665
28.13,224533.796590972
28.14,224533.798829279
28.15,224533.801067586
28.16,224533.803305894
28.17,224533.805511579
28.18,224533.80770286
28.19,224533.809894141
28.2,224533.812085423
28.21,224533.814276704
28.22,224533.816467985
28.23,224533.818659266
28.24,224533.820850548
28.25,224533.823041829
28.26,224533.825228133
28.27,224533.827373294
28.28,224533.829518455
28.29,224533.831663616
28.3,224533.833808777
28.31,224533.835953938
28.32,224533.838099098
28.33,224533.840244259
28.34,224533.84238942
28.35,224533.844534581
28.36,224533.846656126
28.37,224533.848756057
28.38,224533.850855987
28.39,224533.852955917
28.4,224533.855055848
28.41,224533.857155778
28.42,224533.859255709
28.43,224533.861355639
28.44,224533.86345557
28.45,224533.8655555
28.46,224533.867613899
28.47,224533.869669474
28.48,224533.871725048
28.49,224533.873780623
28.5,224533.875836198
28.51,224533.877891772
28.52,224533.879947347
28.53,224533.882002922
28.54,224533.884058496
28.55,224533.886098824
28.56,224533.888110903
28.57,224533.890122981
28.58,224533.89213506
28.59,224533.894147138
28.6,224533.896159217
28.61,224533.898171295
28.62,224533.900183374
28.63,224533.902195452
28.64,224533.904207531
28.65,224533.906186992
28.66,224533.908156419
28.67,224533.910125846
28.68,224533.912095273
28.69,224533.9140647
28.7,224533.916034127
28.71,224533.918003554
28.72,224533.919972981
28.73,224533.921942408
28.74,224533.923904352
28.75,224533.925831957
28.76,224533.927759563
28.77,224533.929687168
28.78,224533.931614774
28.79,224533.933542379
28.8,224533.935469985
28.81,224533.937397591
28.82,224533.939325196
