"Time","Left.Caudate"
-48.15,3327.29514771423
-48.14,3327.31083819231
-48.13,3327.32659442343
-48.12,3327.34235158751
-48.11,3327.35810875159
-48.1,3327.37386591567
-48.09,3327.38962307975
-48.08,3327.40538024383
-48.07,3327.42113740791
-48.06,3327.43689457199
-48.05,3327.45265173607
-48.04,3327.46843568267
-48.03,3327.48425976705
-48.02,3327.50008385142
-48.01,3327.5159079358
-48,3327.53173202017
-47.99,3327.54755610455
-47.98,3327.56338018893
-47.97,3327.5792042733
-47.96,3327.59502835768
-47.95,3327.61085244205
-47.94,3327.62673121901
-47.93,3327.64262245855
-47.92,3327.6585136981
-47.91,3327.67440493764
-47.9,3327.69029617719
-47.89,3327.70618741674
-47.88,3327.72207865628
-47.87,3327.73796989583
-47.86,3327.75386113538
-47.85,3327.76976778221
-47.84,3327.78572641238
-47.83,3327.80168504255
-47.82,3327.81764367272
-47.81,3327.83360230289
-47.8,3327.84956093306
-47.79,3327.86551956323
-47.78,3327.8814781934
-47.77,3327.89743682357
-47.76,3327.91339545374
-47.75,3327.92939755651
-47.74,3327.94542381334
-47.73,3327.96145007016
-47.72,3327.97747632699
-47.71,3327.99350258382
-47.7,3328.00952884064
-47.69,3328.02555509747
-47.68,3328.0415813543
-47.67,3328.05760761112
-47.66,3328.07363773873
-47.65,3328.08973185882
-47.64,3328.10582597892
-47.63,3328.12192009901
-47.62,3328.13801421911
-47.61,3328.15410833921
-47.6,3328.1702024593
-47.59,3328.1862965794
-47.58,3328.20239069949
-47.57,3328.21848481959
-47.56,3328.23461103159
-47.55,3328.25077325214
-47.54,3328.2669354727
-47.53,3328.28309769325
-47.52,3328.29925991381
-47.51,3328.31542213436
-47.5,3328.33158435492
-47.49,3328.34774657548
-47.48,3328.36390879603
-47.47,3328.38007101659
-47.46,3328.39629374718
-47.45,3328.41252430596
-47.44,3328.42875486475
-47.43,3328.44498542354
-47.42,3328.46121598233
-47.41,3328.47744654112
-47.4,3328.4936770999
-47.39,3328.50990765869
-47.38,3328.52613821748
-47.37,3328.54238932557
-47.36,3328.55868846094
-47.35,3328.57498759632
-47.34,3328.59128673169
-47.33,3328.60758586706
-47.32,3328.62388500243
-47.31,3328.6401841378
-47.3,3328.65648327317
-47.29,3328.67278240855
-47.28,3328.68908154392
-47.27,3328.70542980397
-47.26,3328.72179775485
-47.25,3328.73816570574
-47.24,3328.75453365663
-47.23,3328.77090160752
-47.22,3328.78726955841
-47.21,3328.80363750929
-47.2,3328.82000546018
-47.19,3328.83637341107
-47.18,3328.85275020557
-47.17,3328.86918721148
-47.16,3328.8856242174
-47.15,3328.90206122332
-47.14,3328.91849822923
-47.13,3328.93493523515
-47.12,3328.95137224107
-47.11,3328.96780924698
-47.1,3328.9842462529
-47.09,3329.00068325882
-47.08,3329.01715784152
-47.07,3329.03366414256
-47.06,3329.0501704436
-47.05,3329.06667674464
-47.04,3329.08318304568
-47.03,3329.09968934672
-47.02,3329.11619564776
-47.01,3329.1327019488
-47,3329.14920824984
-46.99,3329.16571455088
-46.98,3329.18228736134
-46.97,3329.19886319817
-46.96,3329.21543903501
-46.95,3329.23201487184
-46.94,3329.24859070868
-46.93,3329.26516654552
-46.92,3329.28174238235
-46.91,3329.29831821919
-46.9,3329.31489405603
-46.89,3329.33149575804
-46.88,3329.34814137193
-46.87,3329.36478698581
-46.86,3329.3814325997
-46.85,3329.39807821359
-46.84,3329.41472382748
-46.83,3329.43136944137
-46.82,3329.44801505526
-46.81,3329.46466066915
-46.8,3329.48130628304
-46.79,3329.49800685397
-46.78,3329.51472248675
-46.77,3329.53143811953
-46.76,3329.54815375231
-46.75,3329.56486938508
-46.74,3329.58158501786
-46.73,3329.59830065064
-46.72,3329.61501628342
-46.71,3329.6317319162
-46.7,3329.64846153761
-46.69,3329.6652474317
-46.68,3329.68203332579
-46.67,3329.69881921988
-46.66,3329.71560511397
-46.65,3329.73239100806
-46.64,3329.74917690215
-46.63,3329.76596279624
-46.62,3329.78274869032
-46.61,3329.79953458441
