"Time","Left.Amygdala"
25.27,829.376240204472
25.28,829.348012333054
25.29,829.319781348908
25.3,829.291541842811
25.31,829.263302336714
25.32,829.235062830617
25.33,829.20682332452
25.34,829.178583818423
25.35,829.150344312326
25.36,829.122104806229
25.37,829.093865300131
25.38,829.065625794034
25.39,829.037378317643
25.4,829.009127120515
25.41,828.980875923388
25.42,828.952624726261
25.43,828.924373529134
25.44,828.896122332006
25.45,828.867871134879
25.46,828.839619937752
25.47,828.811368740625
25.48,828.783116416329
25.49,828.754853471754
25.5,828.72659052718
25.51,828.698327582605
25.52,828.670064638031
25.53,828.641801693456
25.54,828.613538748882
25.55,828.585275804307
25.56,828.557012859733
25.57,828.528749915158
25.58,828.500480948741
25.59,828.472206200235
25.6,828.44393145173
25.61,828.415656703225
25.62,828.387381954719
25.63,828.359107206214
25.64,828.330832457709
25.65,828.302557709204
25.66,828.274282960698
25.67,828.246008212193
25.68,828.217722500317
25.69,828.189435891331
25.7,828.161149282345
25.71,828.132862673358
25.72,828.104576064372
25.73,828.076289455386
25.74,828.0480028464
25.75,828.019716237413
25.76,827.991429628427
25.77,827.963138984705
25.78,827.93484045862
25.79,827.906541932536
25.8,827.878243406451
25.81,827.849944880367
25.82,827.821646354283
25.83,827.793347828198
25.84,827.765049302114
25.85,827.73675077603
25.86,827.708452249945
25.87,827.680144710324
25.88,827.651834210457
25.89,827.62352371059
25.9,827.595213210723
25.91,827.566902710856
25.92,827.538592210989
25.93,827.510281711122
25.94,827.481971211255
25.95,827.453660711388
25.96,827.425348202682
25.97,827.39702567228
25.98,827.368703141878
25.99,827.340380611477
26,827.312058081075
26.01,827.283735550673
26.02,827.255413020271
26.03,827.227090489869
26.04,827.198767959467
26.05,827.170445429065
26.06,827.142115873686
26.07,827.113781255928
26.08,827.085446638171
26.09,827.057112020414
26.1,827.028777402657
26.11,827.0004427849
26.12,826.972108167143
26.13,826.943773549386
26.14,826.915438931628
26.15,826.887104313871
26.16,826.85875760786
26.17,826.830410845859
26.18,826.802064083858
26.19,826.773717321857
26.2,826.745370559856
26.21,826.717023797855
26.22,826.688677035854
26.23,826.660330273853
26.24,826.631983511852
26.25,826.603631752296
26.26,826.575272789094
26.27,826.546913825892
26.28,826.51855486269
26.29,826.490195899488
26.3,826.461836936285
26.31,826.433477973083
26.32,826.405119009881
26.33,826.376760046679
26.34,826.348401083477
26.35,826.320032021935
26.36,826.291660800505
26.37,826.263289579075
26.38,826.234918357645
26.39,826.206547136215
26.4,826.178175914786
26.41,826.149804693356
26.42,826.121433471926
26.43,826.093062250496
26.44,826.064688097938
26.45,826.036304561185
26.46,826.007921024431
26.47,825.979537487678
26.48,825.951153950925
26.49,825.922770414172
26.5,825.894386877418
26.51,825.866003340665
26.52,825.837619803912
26.53,825.809236267158
26.54,825.780844660916
26.55,825.752448751674
26.56,825.724052842432
26.57,825.695656933189
26.58,825.667261023947
26.59,825.638865114704
26.6,825.610469205462
26.61,825.58207329622
26.62,825.553677386977
26.63,825.525280652179
26.64,825.496872313212
26.65,825.468463974245
26.66,825.440055635278
26.67,825.411647296311
26.68,825.383238957344
26.69,825.354830618377
26.7,825.32642227941
26.71,825.298013940443
26.72,825.269605601476
26.73,825.241191260948
26.74,825.21277043495
26.75,825.184349608952
26.76,825.155928782954
26.77,825.127507956956
26.78,825.099087130959
26.79,825.070666304961
26.8,825.042245478963
26.81,825.013824652965
26.82,824.985403826967
26.83,824.956971775867
26.84,824.928538405462
26.85,824.900105035057
26.86,824.871671664651
26.87,824.843238294246
26.88,824.81480492384
26.89,824.786371553435
26.9,824.757938183029
26.91,824.729504812624
26.92,824.701067547806
26.93,824.672621575545
26.94,824.644175603284
26.95,824.615729631023
26.96,824.587283658762
26.97,824.558837686501
26.98,824.53039171424
26.99,824.501945741978
27,824.473499769717
27.01,824.445053797456
27.02,824.416598669423
27.03,824.388140037787
27.04,824.35968140615
27.05,824.331222774514
27.06,824.302764142878
27.07,824.274305511242
27.08,824.245846879606
27.09,824.21738824797
27.1,824.188929616334
27.11,824.1604692368
27.12,824.131997888197
27.13,824.103526539595
27.14,824.075055190992
27.15,824.04658384239
27.16,824.018112493787
27.17,823.989641145185
27.18,823.961169796583
27.19,823.93269844798
27.2,823.904227099378
27.21,823.875748703628
27.22,823.847264580396
27.23,823.818780457164
27.24,823.790296333931
