"Time","Left.Inf.Lat.Vent"
-27.04,1366.58557463289
-27.03,1366.65665961349
-27.02,1366.72774459409
-27.01,1366.79882957469
-27,1366.86991455529
-26.99,1366.94099953589
-26.98,1367.01208451649
-26.97,1367.0831694971
-26.96,1367.1542544777
-26.95,1367.22540515657
-26.94,1367.29661516751
-26.93,1367.36782517845
-26.92,1367.43903518939
-26.91,1367.51024520032
-26.9,1367.58145521126
-26.89,1367.6526652222
-26.88,1367.72387523314
-26.87,1367.79508524408
-26.86,1367.86629525502
-26.85,1367.93762283999
-26.84,1368.00895797438
-26.83,1368.08029310877
-26.82,1368.15162824316
-26.81,1368.22296337754
-26.8,1368.29429851193
-26.79,1368.36563364632
-26.78,1368.43696878071
-26.77,1368.5083039151
-26.76,1368.57968335976
-26.75,1368.65114371042
-26.74,1368.72260406109
-26.73,1368.79406441176
-26.72,1368.86552476242
-26.71,1368.93698511309
-26.7,1369.00844546375
-26.69,1369.07990581442
-26.68,1369.15136616508
-26.67,1369.22282651575
-26.66,1369.29438311306
-26.65,1369.36596877255
-26.64,1369.43755443204
-26.63,1369.50914009153
-26.62,1369.58072575102
-26.61,1369.65231141051
-26.6,1369.72389707
-26.59,1369.79548272949
-26.58,1369.86706838898
-26.57,1369.93867690673
-26.56,1370.01038796731
-26.55,1370.08209902789
-26.54,1370.15381008846
-26.53,1370.22552114904
-26.52,1370.29723220962
-26.51,1370.36894327019
-26.5,1370.44065433077
-26.49,1370.51236539135
-26.48,1370.58407645192
-26.47,1370.65586236747
-26.46,1370.72769892111
-26.45,1370.79953547475
-26.44,1370.8713720284
-26.43,1370.94320858204
-26.42,1371.01504513568
-26.41,1371.08688168932
-26.4,1371.15871824297
-26.39,1371.23055479661
-26.38,1371.30239269307
-26.37,1371.37435483147
-26.36,1371.44631696987
-26.35,1371.51827910827
-26.34,1371.59024124667
-26.33,1371.66220338507
-26.32,1371.73416552348
-26.31,1371.80612766188
-26.3,1371.87808980028
-26.29,1371.95005193868
-26.28,1372.02206747665
-26.27,1372.09415529122
-26.26,1372.16624310578
-26.25,1372.23833092035
-26.24,1372.31041873491
-26.23,1372.38250654948
-26.22,1372.45459436404
-26.21,1372.52668217861
-26.2,1372.59876999317
-26.19,1372.67085780774
-26.18,1372.74305115412
-26.17,1372.81526473596
-26.16,1372.88747831781
-26.15,1372.95969189966
-26.14,1373.03190548151
-26.13,1373.10411906336
-26.12,1373.17633264521
-26.11,1373.24854622705
-26.1,1373.3207598089
-26.09,1373.39300527181
-26.08,1373.46534471177
-26.07,1373.53768415173
-26.06,1373.61002359169
-26.05,1373.68236303165
-26.04,1373.75470247161
-26.03,1373.82704191158
-26.02,1373.89938135154
-26.01,1373.9717207915
-26,1374.04406023146
-25.99,1374.11648374406
-25.98,1374.18894913267
-25.97,1374.26141452129
-25.96,1374.3338799099
-25.95,1374.40634529852
-25.94,1374.47881068713
-25.93,1374.55127607575
-25.92,1374.62374146437
-25.91,1374.69620685298
-25.9,1374.7686825416
-25.89,1374.84127396912
-25.88,1374.91386539664
-25.87,1374.98645682416
-25.86,1375.05904825167
-25.85,1375.13163967919
-25.84,1375.20423110671
-25.83,1375.27682253423
-25.82,1375.34941396175
-25.81,1375.42200538927
-25.8,1375.49465936743
-25.79,1375.56737692381
-25.78,1375.64009448019
-25.77,1375.71281203658
-25.76,1375.78552959296
-25.75,1375.85824714934
-25.74,1375.93096470572
-25.73,1376.0036822621
-25.72,1376.07639981849
-25.71,1376.14911737487
-25.7,1376.22194980678
-25.69,1376.2947935817
-25.68,1376.36763735661
-25.67,1376.44048113152
-25.66,1376.51332490643
-25.65,1376.58616868134
-25.64,1376.65901245625
-25.63,1376.73185623116
-25.62,1376.80470000607
-25.61,1376.8775847474
-25.6,1376.95055483021
-25.59,1377.02352491302
-25.58,1377.09649499584
-25.57,1377.16946507865
-25.56,1377.24243516146
-25.55,1377.31540524427
-25.54,1377.38837532708
-25.53,1377.46134540989
-25.52,1377.5343154927
-25.51,1377.60737892517
-25.5,1377.68047540496
-25.49,1377.75357188475
-25.48,1377.82666836455
-25.47,1377.89976484434
-25.46,1377.97286132413
-25.45,1378.04595780392
-25.44,1378.11905428371
-25.43,1378.1921507635
-25.42,1378.26526656387
-25.41,1378.33848952943
-25.4,1378.41171249498
-25.39,1378.48493546053
-25.38,1378.55815842608
-25.37,1378.63138139164
-25.36,1378.70460435719
-25.35,1378.77782732274
-25.34,1378.8510502883
