"Time","Right.Cerebellum.White.Matter"
-46.94,15827.4845629491
-46.93,15827.6400202328
-46.92,15827.7954775164
-46.91,15827.9509348001
-46.9,15828.1063920837
-46.89,15828.2618485451
-46.88,15828.4173036105
-46.87,15828.5727586758
-46.86,15828.7282137412
-46.85,15828.8836688066
-46.84,15829.0391238719
-46.83,15829.1945789373
-46.82,15829.3500340027
-46.81,15829.505489068
-46.8,15829.6609441334
-46.79,15829.8163980977
-46.78,15829.9718517603
-46.77,15830.1273054228
-46.76,15830.2827590854
-46.75,15830.438212748
-46.74,15830.5936664105
-46.73,15830.7491200731
-46.72,15830.9045737357
-46.71,15831.0600273982
-46.7,15831.2154809439
-46.69,15831.3709340191
-46.68,15831.5263870943
-46.67,15831.6818401696
-46.66,15831.8372932448
-46.65,15831.9927463201
-46.64,15832.1481993953
-46.63,15832.3036524705
-46.62,15832.4591055458
-46.61,15832.614558621
-46.6,15832.7700118362
-46.59,15832.9254651396
-46.58,15833.0809184429
-46.57,15833.2363717463
-46.56,15833.3918250497
-46.55,15833.5472783531
-46.54,15833.7027316564
-46.53,15833.8581849598
-46.52,15834.0136382632
-46.51,15834.1690915953
-46.5,15834.3245459422
-46.49,15834.4800002892
-46.48,15834.6354546362
-46.47,15834.7909089832
-46.46,15834.9463633302
-46.45,15835.1018176771
-46.44,15835.2572720241
-46.43,15835.4127263711
-46.42,15835.5681807181
-46.41,15835.7236358862
-46.4,15835.8790920923
-46.39,15836.0345482984
-46.38,15836.1900045044
-46.37,15836.3454607105
-46.36,15836.5009169166
-46.35,15836.6563731226
-46.34,15836.8118293287
-46.33,15836.9672855348
-46.32,15837.1227417408
-46.31,15837.2782002361
-46.3,15837.4336591168
-46.29,15837.5891179975
-46.28,15837.7445768781
-46.27,15837.9000357588
-46.26,15838.0554946395
-46.25,15838.2109535201
-46.24,15838.3664124008
-46.23,15838.5218712815
-46.22,15838.6773311049
-46.21,15838.8327934757
-46.2,15838.9882558465
-46.19,15839.1437182174
-46.18,15839.2991805882
-46.17,15839.454642959
-46.16,15839.6101053298
-46.15,15839.7655677006
-46.14,15839.9210300715
-46.13,15840.0764924423
-46.12,15840.2319577597
-46.11,15840.3874244362
-46.1,15840.5428911128
-46.09,15840.6983577894
-46.08,15840.853824466
-46.07,15841.0092911426
-46.06,15841.1647578192
-46.05,15841.3202244957
-46.04,15841.4756911723
