"Time","Left.Cortex"
-30.57,254369.346362912
-30.56,254367.377022644
-30.55,254365.407682376
-30.54,254363.438342108
-30.53,254361.46900184
-30.52,254359.499661572
-30.51,254357.530321304
-30.5,254355.561335103
-30.49,254353.593766503
-30.48,254351.626197902
-30.47,254349.658629302
-30.46,254347.691060702
-30.45,254345.723492101
-30.44,254343.755923501
-30.43,254341.7883549
-30.42,254339.8207863
-30.41,254337.8532177
-30.4,254335.886730811
-30.39,254333.920923799
-30.38,254331.955116786
-30.37,254329.989309773
-30.36,254328.023502761
-30.35,254326.057695748
-30.34,254324.091888736
-30.33,254322.126081723
-30.32,254320.16027471
-30.31,254318.194517197
-30.3,254316.230461717
-30.29,254314.266406237
-30.28,254312.302350756
-30.27,254310.338295276
-30.26,254308.374239796
-30.25,254306.410184315
-30.24,254304.446128835
-30.23,254302.482073354
-30.22,254300.518017874
-30.21,254298.554732949
-30.2,254296.59241897
-30.19,254294.63010499
-30.18,254292.667791011
-30.17,254290.705477031
-30.16,254288.743163052
-30.15,254286.780849072
-30.14,254284.818535092
-30.13,254282.856221113
-30.12,254280.893907133
-30.11,254278.933076476
-30.1,254276.972493989
-30.09,254275.011911503
-30.08,254273.051329017
-30.07,254271.090746531
-30.06,254269.130164044
-30.05,254267.169581558
-30.04,254265.208999072
-30.03,254263.248416585
-30.02,254261.288300418
-30.01,254259.329439441
-30,254257.370578464
-29.99,254255.411717487
-29.98,254253.452856511
-29.97,254251.493995534
-29.96,254249.535134557
-29.95,254247.57627358
-29.94,254245.617412603
-29.93,254243.658551627
-29.92,254241.700863204
-29.91,254239.743713776
-29.9,254237.786564349
-29.89,254235.829414922
-29.88,254233.872265494
-29.87,254231.915116067
-29.86,254229.957966639
-29.85,254228.000817212
-29.84,254226.043667784
-29.83,254224.086687308
-29.82,254222.131239494
-29.81,254220.175791679
-29.8,254218.220343864
-29.79,254216.26489605
-29.78,254214.309448235
-29.77,254212.35400042
-29.76,254210.398552605
-29.75,254208.443104791
-29.74,254206.487656976
-29.73,254204.53307784
-29.72,254202.579321724
-29.71,254200.625565609
-29.7,254198.671809494
-29.69,254196.718053378
-29.68,254194.764297263
-29.67,254192.810541148
-29.66,254190.856785032
-29.65,254188.903028917
-29.64,254186.949272801
-29.63,254184.997076901
-29.62,254183.045002595
-29.61,254181.092928289
-29.6,254179.140853983
-29.59,254177.188779676
-29.58,254175.23670537
-29.57,254173.284631064
-29.56,254171.332556758
-29.55,254169.380482452
-29.54,254167.428979793
-29.53,254165.478577428
-29.52,254163.528175064
-29.51,254161.5777727
-29.5,254159.627370336
-29.49,254157.676967972
-29.48,254155.726565608
-29.47,254153.776163244
-29.46,254151.82576088
-29.45,254149.875358515
-29.44,254147.926212883
-29.43,254145.977472617
-29.42,254144.02873235
-29.41,254142.079992084
-29.4,254140.131251818
-29.39,254138.182511551
-29.38,254136.233771285
-29.37,254134.285031018
-29.36,254132.336290752
-29.35,254130.387831897
-29.34,254128.440743907
-29.33,254126.493655917
-29.32,254124.546567927
-29.31,254122.599479937
-29.3,254120.652391947
-29.29,254118.705303957
-29.28,254116.758215967
-29.27,254114.811127977
-29.26,254112.864039987
-29.25,254110.917912062
-29.24,254108.972466549
-29.23,254107.027021037
-29.22,254105.081575524
-29.21,254103.136130011
-29.2,254101.190684499
-29.19,254099.245238986
-29.18,254097.299793473
-29.17,254095.35434796
-29.16,254093.408902448
-29.15,254091.46508756
-29.14,254089.521274748
-29.13,254087.577461936
-29.12,254085.633649124
-29.11,254083.689836312
-29.1,254081.7460235
-29.09,254079.802210688
-29.08,254077.858397877
-29.07,254075.914585065
-29.06,254073.971442423
-29.05,254072.029252558
-29.04,254070.087062693
-29.03,254068.144872827
-29.02,254066.202682962
-29.01,254064.260493097
-29,254062.318303231
-28.99,254060.376113366
-28.98,254058.433923501
-28.97,254056.491733636
-28.96,254054.550878124
-28.95,254052.610301474
-28.94,254050.669724823
-28.93,254048.729148172
-28.92,254046.788571522
-28.91,254044.847994871
-28.9,254042.90741822
-28.89,254040.966841569
-28.88,254039.026264919
-28.87,254037.086075267
-28.86,254035.147102121
-28.85,254033.208128974
-28.84,254031.269155828
-28.83,254029.330182682
-28.82,254027.391209536
-28.81,254025.45223639
-28.8,254023.513263243
-28.79,254021.574290097
-28.78,254019.635316951
-28.77,254017.697388633
-28.76,254015.760009303
-28.75,254013.822629973
-28.74,254011.885250644
-28.73,254009.947871314
-28.72,254008.010491984
-28.71,254006.073112654
-28.7,254004.135733324
-28.69,254002.198353994
-28.68,254000.26108517
-28.67,253998.32528999
-28.66,253996.38949481
-28.65,253994.45369963
-28.64,253992.51790445
-28.63,253990.58210927
-28.62,253988.64631409
-28.61,253986.71051891
-28.6,253984.77472373
-28.59,253982.83892855
-28.58,253980.903895371
-28.57,253978.969674696
-28.56,253977.035454021
-28.55,253975.101233346
-28.54,253973.167012671
-28.53,253971.232791996
-28.52,253969.298571321
-28.51,253967.364350646
-28.5,253965.430129971
-28.49,253963.495909296
-28.48,253961.563094148
-28.47,253959.630438354
-28.46,253957.697782561
-28.45,253955.765126767
-28.44,253953.832470974
-28.43,253951.89981518
-28.42,253949.967159387
-28.41,253948.034503593
-28.4,253946.1018478
-28.39,253944.169677835
-28.38,253942.238577321
-28.37,253940.307476806
-28.36,253938.376376292
-28.35,253936.445275778
-28.34,253934.514175264
-28.33,253932.58307475
-28.32,253930.651974236
-28.31,253928.720873721
-28.3,253926.789773207
-28.29,253924.859795766
-28.28,253922.93024095
-28.27,253921.000686134
-28.26,253919.071131318
-28.25,253917.141576502
-28.24,253915.212021687
-28.23,253913.282466871
-28.22,253911.352912055
-28.21,253909.423357239
-28.2,253907.494018689
-28.19,253905.566000011
-28.18,253903.637981333
-28.17,253901.709962656
-28.16,253899.781943978
-28.15,253897.853925301
-28.14,253895.925906623
-28.13,253893.997887946
-28.12,253892.069869268
-28.11,253890.141850591
-28.1,253888.214679162
-28.09,253886.288187083
-28.08,253884.361695005
-28.07,253882.435202926
-28.06,253880.508710848
-28.05,253878.58221877
-28.04,253876.655726691
-28.03,253874.729234613
-28.02,253872.802742535
-28.01,253870.876250456
-28,253868.951228727
-27.99,253867.026253729
-27.98,253865.101278732
-27.97,253863.176303734
-27.96,253861.251328737
-27.95,253859.326353739
-27.94,253857.401378741
-27.93,253855.476403744
-27.92,253853.551428746
-27.91,253851.627031759
-27.9,253849.703564344
-27.89,253847.780096929
-27.88,253845.856629515
-27.87,253843.9331621
-27.86,253842.009694685
-27.85,253840.086227271
-27.84,253838.162759856
-27.83,253836.239292441
-27.82,253834.315825026
-27.81,253832.393552512
-27.8,253830.471583203
-27.79,253828.549613894
-27.78,253826.627644585
-27.77,253824.705675276
-27.76,253822.783705966
-27.75,253820.861736657
-27.74,253818.939767348
-27.73,253817.017798039
-27.72,253815.096144045
-27.71,253813.175663385
-27.7,253811.255182724
-27.69,253809.334702063
-27.68,253807.414221403
-27.67,253805.493740742
-27.66,253803.573260081
-27.65,253801.65277942
-27.64,253799.73229876
-27.63,253797.811818099
-27.62,253795.892263453
-27.61,253793.973262004
-27.6,253792.054260555
-27.59,253790.135259106
-27.58,253788.216257656
-27.57,253786.297256207
-27.56,253784.378254758
-27.55,253782.459253309
-27.54,253780.54025186
-27.53,253778.621309533
-27.52,253776.703777878
-27.51,253774.786246224
-27.5,253772.86871457
-27.49,253770.951182915
-27.48,253769.033651261
-27.47,253767.116119606
-27.46,253765.198587952
-27.45,253763.281056298
-27.44,253761.363524643
-27.43,253759.446656638
-27.42,253757.530585381
-27.41,253755.614514124
-27.4,253753.698442868
-27.39,253751.782371611
-27.38,253749.866300354
-27.37,253747.950229098
-27.36,253746.034157841
-27.35,253744.118086584
-27.34,253742.202015328
-27.33,253740.28720448
-27.32,253738.372584244
-27.31,253736.457964008
-27.3,253734.543343771
-27.29,253732.628723535
-27.28,253730.714103299
-27.27,253728.799483063
-27.26,253726.884862827
-27.25,253724.970242591
-27.24,253723.056030117
-27.23,253721.142851544
-27.22,253719.229672971
-27.21,253717.316494398
-27.2,253715.403315824
-27.19,253713.490137251
-27.18,253711.576958678
-27.17,253709.663780105
-27.16,253707.750601532
-27.15,253705.837422959
-27.14,253703.925242784
-27.13,253702.013496535
-27.12,253700.101750287
-27.11,253698.190004039
-27.1,253696.278257791
-27.09,253694.366511542
-27.08,253692.454765294
-27.07,253690.543019046
-27.06,253688.631272797
-27.05,253686.719684863
-27.04,253684.809361621
-27.03,253682.899038379
-27.02,253680.988715136
-27.01,253679.078391894
-27,253677.168068652
-26.99,253675.25774541
-26.98,253673.347422168
-26.97,253671.437098926
-26.96,253669.526775683
-26.95,253667.617195286
-26.94,253665.70828575
-26.93,253663.799376215
-26.92,253661.890466679
-26.91,253659.981557144
-26.9,253658.072647608
-26.89,253656.163738072
-26.88,253654.254828537
-26.87,253652.345919001
-26.86,253650.437009466
-26.85,253648.529419619
-26.84,253646.62191451
-26.83,253644.714409401
-26.82,253642.806904291
-26.81,253640.899399182
-26.8,253638.991894073
-26.79,253637.084388963
-26.78,253635.176883854
-26.77,253633.269378744
-26.76,253631.362367342
-26.75,253629.456257397
-26.74,253627.550147452
-26.73,253625.644037508
-26.72,253623.737927563
-26.71,253621.831817618
-26.7,253619.925707674
-26.69,253618.019597729
-26.68,253616.113487784
-26.67,253614.20737784
-26.66,253612.302332388
-26.65,253610.397608365
-26.64,253608.492884342
-26.63,253606.58816032
-26.62,253604.683436297
-26.61,253602.778712274
-26.6,253600.873988252
-26.59,253598.969264229
-26.58,253597.064540206
-26.57,253595.16006713
-26.56,253593.256719805
-26.55,253591.353372481
-26.54,253589.450025156
-26.53,253587.546677831
-26.52,253585.643330507
-26.51,253583.739983182
-26.5,253581.836635857
-26.49,253579.933288533
-26.48,253578.029941208
-26.47,253576.127409575
-26.46,253574.225429742
-26.45,253572.32344991
-26.44,253570.421470078
-26.43,253568.519490246
-26.42,253566.617510414
-26.41,253564.715530582
-26.4,253562.81355075
-26.39,253560.911570918
-26.38,253559.009605609
-26.37,253557.108984083
-26.36,253555.208362556
-26.35,253553.30774103
-26.34,253551.407119503
-26.33,253549.506497976
-26.32,253547.60587645
-26.31,253545.705254923
-26.3,253543.804633397
-26.29,253541.90401187
-26.28,253540.003963589
-26.27,253538.1046912
-26.26,253536.20541881
-26.25,253534.30614642
-26.24,253532.40687403
-26.23,253530.50760164
-26.22,253528.608329251
-26.21,253526.709056861
-26.2,253524.809784471
-26.19,253522.910512081
-26.18,253521.012364079
-26.17,253519.114431675
-26.16,253517.216499272
-26.15,253515.318566868
-26.14,253513.420634465
-26.13,253511.522702061
-26.12,253509.624769657
-26.11,253507.726837254
-26.1,253505.82890485
-26.09,253503.931309565
-26.08,253502.034708015
-26.07,253500.138106465
-26.06,253498.241504915
-26.05,253496.344903365
-26.04,253494.448301815
-26.03,253492.551700265
-26.02,253490.655098715
-26.01,253488.758497165
-26,253486.861895615
-25.99,253484.966176346
-25.98,253483.070896535
-25.97,253481.175616723
-25.96,253479.280336912
-25.95,253477.385057101
-25.94,253475.48977729
-25.93,253473.594497479
-25.92,253471.699217668
-25.91,253469.803937857
-25.9,253467.908765316
-25.89,253466.014798147
-25.88,253464.120830978
-25.87,253462.226863809
-25.86,253460.33289664
-25.85,253458.438929471
-25.84,253456.544962302
-25.83,253454.650995133
-25.82,253452.757027964
-25.81,253450.863060795
-25.8,253448.969740097
-25.79,253447.077076491
-25.78,253445.184412885
-25.77,253443.291749278
-25.76,253441.399085672
-25.75,253439.506422066
-25.74,253437.613758459
-25.73,253435.721094853
-25.72,253433.828431247
-25.71,253431.93576764
-25.7,253430.044282201
-25.69,253428.152913096
-25.68,253426.26154399
-25.67,253424.370174885
-25.66,253422.478805779
-25.65,253420.587436674
-25.64,253418.696067569
-25.63,253416.804698463
-25.62,253414.913329358
-25.61,253413.022377175
-25.6,253411.132293526
-25.59,253409.242209877
-25.58,253407.352126228
-25.57,253405.462042579
-25.56,253403.57195893
-25.55,253401.681875281
-25.54,253399.791791632
-25.53,253397.901707983
-25.52,253396.011624334
-25.51,253394.122483384
-25.5,253392.233676164
-25.49,253390.344868945
-25.48,253388.456061725
-25.47,253386.567254506
-25.46,253384.678447286
-25.45,253382.789640067
-25.44,253380.900832847
-25.43,253379.012025627
-25.42,253377.123412005
-25.41,253375.235872204
-25.4,253373.348332404
-25.39,253371.460792604
-25.38,253369.573252803
-25.37,253367.685713003
-25.36,253365.798173203
-25.35,253363.910633402
-25.34,253362.023093602
-25.33,253360.135553802
-25.32,253358.248727472
-25.31,253356.362446098
-25.3,253354.476164724
-25.29,253352.589883349
-25.28,253350.703601975
-25.27,253348.817320601
-25.26,253346.931039227
-25.25,253345.044757853
-25.24,253343.158476478
-25.23,253341.272195104
-25.22,253339.387139641
-25.21,253337.502107716
-25.2,253335.617075792
-25.19,253333.732043868
-25.18,253331.847011944
-25.17,253329.961980019
-25.16,253328.076948095
-25.15,253326.191916171
-25.14,253324.306884247
-25.13,253322.42234277
-25.12,253320.538551336
-25.11,253318.654759902
-25.1,253316.770968468
-25.09,253314.887177035
-25.08,253313.003385601
-25.07,253311.119594167
-25.06,253309.235802733
-25.05,253307.352011299
-25.04,253305.468219865
-25.03,253303.585425457
-25.02,253301.702865571
-25.01,253299.820305685
-25,253297.937745798
-24.99,253296.055185912
-24.98,253294.172626026
-24.97,253292.290066139
-24.96,253290.407506253
-24.95,253288.524946367
-24.94,253286.642660075
-24.93,253284.76132281
-24.92,253282.879985545
-24.91,253280.99864828
-24.9,253279.117311014
-24.89,253277.235973749
-24.88,253275.354636484
-24.87,253273.473299219
-24.86,253271.591961954
-24.85,253269.710624688
-24.84,253267.83006175
-24.83,253265.949938196
-24.82,253264.069814642
-24.81,253262.189691087
-24.8,253260.309567533
-24.79,253258.429443979
-24.78,253256.549320425
-24.77,253254.669196871
-24.76,253252.789073316
-24.75,253250.90901264
-24.74,253249.030093903
-24.73,253247.151175166
-24.72,253245.272256429
-24.71,253243.393337692
-24.7,253241.514418955
-24.69,253239.635500218
-24.68,253237.756581481
-24.67,253235.877662744
