"Time","CSF"
-19.27,2335.0553837778
-19.26,2335.07363713536
-19.25,2335.09189049292
-19.24,2335.11014385049
-19.23,2335.12839720805
-19.22,2335.14665056561
-19.21,2335.16490392318
-19.2,2335.18315728074
-19.19,2335.20140993463
-19.18,2335.21965404746
-19.17,2335.23789816029
-19.16,2335.25614227312
-19.15,2335.27438638596
-19.14,2335.29263049879
-19.13,2335.31087461162
-19.12,2335.32911872445
-19.11,2335.34736283728
-19.1,2335.36560695012
-19.09,2335.38384657457
-19.08,2335.40208153346
-19.07,2335.42031649235
-19.06,2335.43855145124
-19.05,2335.45678641014
-19.04,2335.47502136903
-19.03,2335.49325632792
-19.02,2335.51149128681
-19.01,2335.52972624571
-19,2335.5479612046
-18.99,2335.5661879655
-18.98,2335.58441386111
-18.97,2335.60263975673
-18.96,2335.62086565234
-18.95,2335.63909154795
-18.94,2335.65731744356
-18.93,2335.67554333918
-18.92,2335.69376923479
-18.91,2335.7119951304
-18.9,2335.7302181661
-18.89,2335.74843508896
-18.88,2335.76665201182
-18.87,2335.78486893469
-18.86,2335.80308585755
-18.85,2335.82130278041
-18.84,2335.83951970327
-18.83,2335.85773662614
-18.82,2335.875953549
-18.81,2335.89417047186
-18.8,2335.9123808845
-18.79,2335.93058892501
-18.78,2335.94879696553
-18.77,2335.96700500604
-18.76,2335.98521304655
-18.75,2336.00342108706
-18.74,2336.02162912757
-18.73,2336.03983716809
-18.72,2336.0580452086
-18.71,2336.0762519554
-18.7,2336.09445120384
-18.69,2336.11265045227
-18.68,2336.13084970071
-18.67,2336.14904894914
-18.66,2336.16724819758
-18.65,2336.18544744601
-18.64,2336.20364669445
-18.63,2336.22184594288
-18.62,2336.24004519131
-18.61,2336.25823955492
-18.6,2336.27643010142
-18.59,2336.29462064792
-18.58,2336.31281119442
-18.57,2336.33100174093
-18.56,2336.34919228743
-18.55,2336.36738283393
-18.54,2336.38557338043
-18.53,2336.40376392694
-18.52,2336.42195447344
-18.51,2336.44013661854
-18.5,2336.45831855313
-18.49,2336.47650048772
-18.48,2336.49468242231
-18.47,2336.5128643569
-18.46,2336.53104629149
-18.45,2336.54922822608
-18.44,2336.56741016067
-18.43,2336.58559209526
-18.42,2336.6037707083
-18.41,2336.62194412087
-18.4,2336.64011753345
-18.39,2336.65829094602
-18.38,2336.6764643586
-18.37,2336.69463777117
-18.36,2336.71281118375
-18.35,2336.73098459632
-18.34,2336.7491580089
-18.33,2336.76733142147
-18.32,2336.7854980548
-18.31,2336.80366303514
-18.3,2336.82182801547
-18.29,2336.8399929958
-18.28,2336.85815797614
-18.27,2336.87632295647
-18.26,2336.8944879368
-18.25,2336.91265291714
-18.24,2336.93081789747
-18.23,2336.94898105768
-18.22,2336.96713769542
-18.21,2336.98529433316
-18.2,2337.00345097091
-18.19,2337.02160760865
-18.18,2337.0397642464
-18.17,2337.05792088414
-18.16,2337.07607752189
-18.15,2337.09423415963
-18.14,2337.11239079738
-18.13,2337.13054221606
-18.12,2337.14869060075
-18.11,2337.16683898544
-18.1,2337.18498737013
-18.09,2337.20313575481
-18.08,2337.2212841395
-18.07,2337.23943252419
-18.06,2337.25758090888
-18.05,2337.27572929357
-18.04,2337.29387729796
-18.03,2337.312017519
-18.02,2337.33015774005
-18.01,2337.34829796109
-18,2337.36643818214
-17.99,2337.38457840318
-17.98,2337.40271862423
-17.97,2337.42085884527
-17.96,2337.43899906632
-17.95,2337.45713928736
-17.94,2337.47527578783
-17.93,2337.49340793453
-17.92,2337.51154008123
-17.91,2337.52967222793
-17.9,2337.54780437463
-17.89,2337.56593652133
-17.88,2337.58406866803
-17.87,2337.60220081473
-17.86,2337.62033296143
-17.85,2337.63846510813
-17.84,2337.65659026784
-17.83,2337.67471442938
-17.82,2337.69283859091
-17.81,2337.71096275245
-17.8,2337.72908691398
-17.79,2337.74721107552
-17.78,2337.76533523705
-17.77,2337.78345939858
-17.76,2337.80158356012
-17.75,2337.81970543809
-17.74,2337.83782170353
-17.73,2337.85593796896
-17.72,2337.8740542344
-17.71,2337.89217049983
-17.7,2337.91028676527
-17.69,2337.9284030307
-17.68,2337.94651929614
-17.67,2337.96463556157
-17.66,2337.98275182701
-17.65,2338.00086260084
-17.64,2338.01897105913
-17.63,2338.03707951742
-17.62,2338.05518797571
-17.61,2338.07329643399
-17.6,2338.09140489228
-17.59,2338.10951335057
-17.58,2338.12762180886
-17.57,2338.14573026715
-17.56,2338.16383781767
-17.55,2338.18193855765
-17.54,2338.20003929763
-17.53,2338.21814003761
-17.52,2338.2362407776
-17.51,2338.25434151758
-17.5,2338.27244225756
