"Time","Right.Amygdala"
1.49,934.185377363169
1.5,934.162362385037
1.51,934.139347406906
1.52,934.116338473404
1.53,934.093334595765
1.54,934.070330718125
1.55,934.047326840486
1.56,934.024322962846
1.57,934.001319085207
1.58,933.978315207567
1.59,933.955311329928
1.6,933.932307452288
1.61,933.909303574649
1.62,933.886310288636
1.63,933.863317458408
1.64,933.840324628181
1.65,933.817331797953
1.66,933.794338967726
1.67,933.771346137498
1.68,933.74835330727
1.69,933.725360477043
1.7,933.702367646815
1.71,933.679378916934
1.72,933.656397081109
1.73,933.633415245284
1.74,933.610433409459
1.75,933.587451573635
1.76,933.56446973781
1.77,933.541487901985
1.78,933.51850606616
1.79,933.495524230336
1.8,933.472542394511
1.81,933.449569171305
1.82,933.426598276945
1.83,933.403627382586
1.84,933.380656488226
1.85,933.357685593866
1.86,933.334714699506
1.87,933.311743805146
1.88,933.288772910786
1.89,933.265802016426
1.9,933.242833314592
1.91,933.219873308829
1.92,933.196913303067
1.93,933.173953297304
1.94,933.150993291541
1.95,933.128033285779
1.96,933.105073280016
1.97,933.082113274254
1.98,933.059153268491
1.99,933.036193262729
2,933.01323992711
2.01,932.990290757148
2.02,932.967341587185
2.03,932.944392417223
2.04,932.921443247261
2.05,932.898494077298
2.06,932.875544907336
2.07,932.852595737373
2.08,932.829646567411
2.09,932.806697718472
2.1,932.783759331583
2.11,932.760820944693
2.12,932.737882557803
2.13,932.714944170914
2.14,932.692005784024
2.15,932.669067397135
2.16,932.646129010245
2.17,932.623190623356
2.18,932.600252236466
2.19,932.577318613631
2.2,932.554390957157
2.21,932.531463300682
2.22,932.508535644208
2.23,932.485607987733
2.24,932.462680331259
2.25,932.439752674784
2.26,932.41682501831
2.27,932.393897361835
2.28,932.370969705361
2.29,932.348051212409
2.3,932.325134233761
2.31,932.302217255113
2.32,932.279300276465
2.33,932.256383297817
2.34,932.233466319169
2.35,932.210549340521
2.36,932.187632361872
2.37,932.164715383224
2.38,932.141801298783
2.39,932.118894945441
2.4,932.0959885921
2.41,932.073082238759
2.42,932.050175885417
2.43,932.027269532076
2.44,932.004363178734
2.45,931.981456825393
2.46,931.958550472052
2.47,931.93564411871
2.48,931.912745024625
2.49,931.889849244138
2.5,931.866953463652
2.51,931.844057683166
2.52,931.82116190268
2.53,931.798266122194
2.54,931.775370341708
2.55,931.752474561222
2.56,931.729578780736
2.57,931.706684060706
2.58,931.683798800692
2.59,931.660913540678
2.6,931.638028280664
2.61,931.61514302065
2.62,931.592257760636
2.63,931.569372500622
2.64,931.546487240608
2.65,931.523601980594
2.66,931.50071672058
2.67,931.477836851719
2.68,931.454962059861
2.69,931.432087268004
2.7,931.409212476146
2.71,931.386337684288
2.72,931.363462892431
2.73,931.340588100573
2.74,931.317713308716
2.75,931.294838516858
2.76,931.271963725001
2.77,931.249098611716
2.78,931.226234235767
2.79,931.203369859818
2.8,931.180505483869
2.81,931.157641107919
2.82,931.13477673197
2.83,931.111912356021
2.84,931.089047980072
2.85,931.066183604123
2.86,931.043322787246
2.87,931.020468775024
2.88,930.997614762803
2.89,930.974760750581
2.9,930.951906738359
2.91,930.929052726137
2.92,930.906198713915
2.93,930.883344701693
2.94,930.860490689471
2.95,930.837636677249
2.96,930.814790477331
2.97,930.791946776722
2.98,930.769103076113
2.99,930.746259375504
3,930.723415674895
3.01,930.700571974286
3.02,930.677728273676
3.03,930.654884573067
3.04,930.632040872458
3.05,930.609198934725
3.06,930.586365493681
3.07,930.563532052636
3.08,930.540698611592
3.09,930.517865170547
3.1,930.495031729503
3.11,930.472198288458
3.12,930.449364847414
3.13,930.426531406369
3.14,930.403697965325
3.15,930.380870506263
3.16,930.358047272801
3.17,930.335224039339
3.18,930.312400805877
3.19,930.289577572415
3.2,930.266754338953
3.21,930.243931105491
3.22,930.221107872029
3.23,930.198284638567
3.24,930.175461407531
3.25,930.152648329735
3.26,930.129835251939
3.27,930.107022174142
3.28,930.084209096346
3.29,930.06139601855
3.3,930.038582940754
3.31,930.015769862958
3.32,929.992956785161
3.33,929.970143707365
3.34,929.94733481704
3.35,929.924531843058
3.36,929.901728869077
3.37,929.878925895095
3.38,929.856122921113
3.39,929.833319947132
3.4,929.81051697315
3.41,929.787713999169
3.42,929.764911025187
3.43,929.742108051205
3.44,929.719313406839
3.45,929.696520484885
3.46,929.673727562932
3.47,929.650934640978
3.48,929.628141719025
3.49,929.605348797071
3.5,929.582555875118
3.51,929.559762953164
3.52,929.536970031211
3.53,929.51417953789
3.54,929.491396616243
3.55,929.468613694595
3.56,929.445830772948
