"Time","Brain.Stem"
22.52,18897.5803646463
22.53,18897.5989026412
22.54,18897.6174406362
22.55,18897.6359786311
22.56,18897.654516626
22.57,18897.6730546209
22.58,18897.6915926158
22.59,18897.7101306107
22.6,18897.7286686056
22.61,18897.7473240683
22.62,18897.7660374457
22.63,18897.7847508231
22.64,18897.8034642005
22.65,18897.8221775779
22.66,18897.8408909553
22.67,18897.8596043327
22.68,18897.8783177101
22.69,18897.8970310876
22.7,18897.9157593793
22.71,18897.9346503378
22.72,18897.9535412962
22.73,18897.9724322547
22.74,18897.9913232132
22.75,18898.0102141716
22.76,18898.0291051301
22.77,18898.0479960885
22.78,18898.066887047
22.79,18898.0857780055
22.8,18898.1047585441
22.81,18898.1238293133
22.82,18898.1429000824
22.83,18898.1619708516
22.84,18898.1810416207
22.85,18898.2001123898
22.86,18898.219183159
22.87,18898.2382539281
22.88,18898.2573246972
22.89,18898.2763954664
22.9,18898.2956323574
22.91,18898.3148851984
22.92,18898.3341380393
22.93,18898.3533908803
22.94,18898.3726437213
22.95,18898.3918965622
22.96,18898.4111494032
22.97,18898.4304022442
22.98,18898.4496550851
22.99,18898.4689681403
23,18898.4884053463
23.01,18898.5078425523
23.02,18898.5272797583
23.03,18898.5467169642
23.04,18898.5661541702
23.05,18898.5855913762
23.06,18898.6050285822
23.07,18898.6244657882
23.08,18898.6439029942
23.09,18898.6634785023
23.1,18898.683102399
23.11,18898.7027262958
23.12,18898.7223501925
23.13,18898.7419740892
23.14,18898.761597986
23.15,18898.7812218827
23.16,18898.8008457794
23.17,18898.8204696761
23.18,18898.8401228783
23.19,18898.8599358245
23.2,18898.8797487708
23.21,18898.899561717
23.22,18898.9193746633
23.23,18898.9391876095
23.24,18898.9590005558
23.25,18898.978813502
23.26,18898.9986264483
23.27,18899.0184393945
23.28,18899.0383613133
23.29,18899.0583657014
23.3,18899.0783700896
23.31,18899.0983744777
23.32,18899.1183788658
23.33,18899.1383832539
23.34,18899.158387642
23.35,18899.1783920301
23.36,18899.1983964183
23.37,18899.2184008064
23.38,18899.2385958496
23.39,18899.258794106
23.4,18899.2789923624
23.41,18899.2991906189
23.42,18899.3193888753
23.43,18899.3395871317
23.44,18899.3597853881
23.45,18899.3799836446
23.46,18899.400181901
23.47,18899.4204582241
23.48,18899.44085281
23.49,18899.4612473958
23.5,18899.4816419816
23.51,18899.5020365674
23.52,18899.5224311533
23.53,18899.5428257391
23.54,18899.5632203249
23.55,18899.5836149107
23.56,18899.6040094965
23.57,18899.6245654964
23.58,18899.6451589079
23.59,18899.6657523194
23.6,18899.6863457309
23.61,18899.7069391424
23.62,18899.7275325539
23.63,18899.7481259653
23.64,18899.7687193768
23.65,18899.7893127883
23.66,18899.8099517152
23.67,18899.8307464844
23.68,18899.8515412536
23.69,18899.8723360228
23.7,18899.8931307919
23.71,18899.9139255611
23.72,18899.9347203303
23.73,18899.9555150995
23.74,18899.9763098686
23.75,18899.9971046378
23.76,18900.0180299703
23.77,18900.0390286655
23.78,18900.0600273606
23.79,18900.0810260558
23.8,18900.102024751
23.81,18900.1230234462
23.82,18900.1440221414
23.83,18900.1650208366
23.84,18900.1860195317
23.85,18900.2070294734
23.86,18900.2282346998
23.87,18900.2494399262
23.88,18900.2706451526
23.89,18900.291850379
23.9,18900.3130556054
23.91,18900.3342608318
23.92,18900.3554660583
23.93,18900.3766712847
23.94,18900.3978765111
23.95,18900.4191797689
